arc_id,agent_index
(1003_549_20_21),1120;1240;1332;1454;1588;1707;2909;3029;3121;3243;3377;3496;4698;4818;4910;5032;5166;5285;6487;6607;6699;6821;6955;7074;8276;8396;8488;8610;8744;8863;10065;10185;10277;10399;10533;10652;11854;11974;12066;12188;12322;12441;13643;13763;13855;13977;14111;14230;15432;15552;15644;15766;15900;16019;17221;17341;17433;17555;17689;17808;
(1003_549_21_22),1400;1544;1773;3189;3333;3562;4978;5122;5351;6767;6911;7140;8556;8700;8929;10345;10489;10718;12134;12278;12507;13923;14067;14296;15712;15856;16085;17501;17645;17874;
(1004_550_0_1),3;244;478;706;925;1792;2033;2267;2495;2714;3581;3822;4056;4284;4503;5370;5611;5845;6073;6292;7159;7400;7634;7862;8081;8948;9189;9423;9651;9870;10737;10978;11212;11440;11659;12526;12767;13001;13229;13448;14315;14556;14790;15018;15237;16104;16345;16579;16807;17026;
(1004_550_1_2),125;366;600;828;1043;1914;2155;2389;2617;2832;3703;3944;4178;4406;4621;5492;5733;5967;6195;6410;7281;7522;7756;7984;8199;9070;9311;9545;9773;9988;10859;11100;11334;11562;11777;12648;12889;13123;13351;13566;14437;14678;14912;15140;15355;16226;16467;16701;16929;17144;
(1004_550_20_21),1121;1333;1455;1589;1708;2910;3122;3244;3378;3497;4699;4911;5033;5167;5286;6488;6700;6822;6956;7075;8277;8489;8611;8745;8864;10066;10278;10400;10534;10653;11855;12067;12189;12323;12442;13644;13856;13978;14112;14231;15433;15645;15767;15901;16020;17222;17434;17556;17690;17809;
(1004_550_21_22),1241;1401;1545;3030;3190;3334;4819;4979;5123;6608;6768;6912;8397;8557;8701;10186;10346;10490;11975;12135;12279;13764;13924;14068;15553;15713;15857;17342;17502;17646;
(1005_551_0_1),4;245;479;707;926;1793;2034;2268;2496;2715;3582;3823;4057;4285;4504;5371;5612;5846;6074;6293;7160;7401;7635;7863;8082;8949;9190;9424;9652;9871;10738;10979;11213;11441;11660;12527;12768;13002;13230;13449;14316;14557;14791;15019;15238;16105;16346;16580;16808;17027;
(1005_551_1_2),126;367;601;829;1044;1915;2156;2390;2618;2833;3704;3945;4179;4407;4622;5493;5734;5968;6196;6411;7282;7523;7757;7985;8200;9071;9312;9546;9774;9989;10860;11101;11335;11563;11778;12649;12890;13124;13352;13567;14438;14679;14913;15141;15356;16227;16468;16702;16930;17145;
(1005_551_20_21),1122;1334;1456;1590;1709;2911;3123;3245;3379;3498;4700;4912;5034;5168;5287;6489;6701;6823;6957;7076;8278;8490;8612;8746;8865;10067;10279;10401;10535;10654;11856;12068;12190;12324;12443;13645;13857;13979;14113;14232;15434;15646;15768;15902;16021;17223;17435;17557;17691;17810;
(1005_551_21_22),1242;1546;3031;3335;4820;5124;6609;6913;8398;8702;10187;10491;11976;12280;13765;14069;15554;15858;17343;17647;
(1006_552_0_1),5;246;480;708;927;1794;2035;2269;2497;2716;3583;3824;4058;4286;4505;5372;5613;5847;6075;6294;7161;7402;7636;7864;8083;8950;9191;9425;9653;9872;10739;10980;11214;11442;11661;12528;12769;13003;13231;13450;14317;14558;14792;15020;15239;16106;16347;16581;16809;17028;
(1006_552_1_2),127;368;602;830;1045;1916;2157;2391;2619;2834;3705;3946;4180;4408;4623;5494;5735;5969;6197;6412;7283;7524;7758;7986;8201;9072;9313;9547;9775;9990;10861;11102;11336;11564;11779;12650;12891;13125;13353;13568;14439;14680;14914;15142;15357;16228;16469;16703;16931;17146;
(1006_552_20_21),1123;1335;1457;1591;1710;2912;3124;3246;3380;3499;4701;4913;5035;5169;5288;6490;6702;6824;6958;7077;8279;8491;8613;8747;8866;10068;10280;10402;10536;10655;11857;12069;12191;12325;12444;13646;13858;13980;14114;14233;15435;15647;15769;15903;16022;17224;17436;17558;17692;17811;
(1006_552_21_22),1243;1402;1547;3032;3191;3336;4821;4980;5125;6610;6769;6914;8399;8558;8703;10188;10347;10492;11977;12136;12281;13766;13925;14070;15555;15714;15859;17344;17503;17648;
(1007_553_0_1),6;247;481;709;928;1795;2036;2270;2498;2717;3584;3825;4059;4287;4506;5373;5614;5848;6076;6295;7162;7403;7637;7865;8084;8951;9192;9426;9654;9873;10740;10981;11215;11443;11662;12529;12770;13004;13232;13451;14318;14559;14793;15021;15240;16107;16348;16582;16810;17029;
(1007_553_1_2),128;369;603;1917;2158;2392;3706;3947;4181;5495;5736;5970;7284;7525;7759;9073;9314;9548;10862;11103;11337;12651;12892;13126;14440;14681;14915;16229;16470;16704;
(1007_553_20_21),1124;1336;1403;1458;1592;1711;2913;3125;3192;3247;3381;3500;4702;4914;4981;5036;5170;5289;6491;6703;6770;6825;6959;7078;8280;8492;8559;8614;8748;8867;10069;10281;10348;10403;10537;10656;11858;12070;12137;12192;12326;12445;13647;13859;13926;13981;14115;14234;15436;15648;15715;15770;15904;16023;17225;17437;17504;17559;17693;17812;
(1007_553_21_22),1244;1548;3033;3337;4822;5126;6611;6915;8400;8704;10189;10493;11978;12282;13767;14071;15556;15860;17345;17649;
(1008_554_0_1),7;248;482;710;929;1796;2037;2271;2499;2718;3585;3826;4060;4288;4507;5374;5615;5849;6077;6296;7163;7404;7638;7866;8085;8952;9193;9427;9655;9874;10741;10982;11216;11444;11663;12530;12771;13005;13233;13452;14319;14560;14794;15022;15241;16108;16349;16583;16811;17030;
(1008_554_10_11),187;1976;3765;5554;7343;9132;10921;12710;14499;16288;
(1008_554_1_2),129;370;604;1046;1918;2159;2393;2835;3707;3948;4182;4624;5496;5737;5971;6413;7285;7526;7760;8202;9074;9315;9549;9991;10863;11104;11338;11780;12652;12893;13127;13569;14441;14682;14916;15358;16230;16471;16705;17147;
(1008_554_20_21),1125;1337;1459;1593;1712;2914;3126;3248;3382;3501;4703;4915;5037;5171;5290;6492;6704;6826;6960;7079;8281;8493;8615;8749;8868;10070;10282;10404;10538;10657;11859;12071;12193;12327;12446;13648;13860;13982;14116;14235;15437;15649;15771;15905;16024;17226;17438;17560;17694;17813;
(1008_554_21_22),1245;1404;1549;3034;3193;3338;4823;4982;5127;6612;6771;6916;8401;8560;8705;10190;10349;10494;11979;12138;12283;13768;13927;14072;15557;15716;15861;17346;17505;17650;
(1009_555_0_1),8;249;483;711;930;1797;2038;2272;2500;2719;3586;3827;4061;4289;4508;5375;5616;5850;6078;6297;7164;7405;7639;7867;8086;8953;9194;9428;9656;9875;10742;10983;11217;11445;11664;12531;12772;13006;13234;13453;14320;14561;14795;15023;15242;16109;16350;16584;16812;17031;
(1009_555_1_2),130;371;605;831;1047;1919;2160;2394;2620;2836;3708;3949;4183;4409;4625;5497;5738;5972;6198;6414;7286;7527;7761;7987;8203;9075;9316;9550;9776;9992;10864;11105;11339;11565;11781;12653;12894;13128;13354;13570;14442;14683;14917;15143;15359;16231;16472;16706;16932;17148;
(1009_555_20_21),1126;1338;1460;1594;1713;1774;2915;3127;3249;3383;3502;3563;4704;4916;5038;5172;5291;5352;6493;6705;6827;6961;7080;7141;8282;8494;8616;8750;8869;8930;10071;10283;10405;10539;10658;10719;11860;12072;12194;12328;12447;12508;13649;13861;13983;14117;14236;14297;15438;15650;15772;15906;16025;16086;17227;17439;17561;17695;17814;17875;
(1009_555_21_22),1246;1405;1550;3035;3194;3339;4824;4983;5128;6613;6772;6917;8402;8561;8706;10191;10350;10495;11980;12139;12284;13769;13928;14073;15558;15717;15862;17347;17506;17651;
(100_100_10_11),273;810;2062;2599;3851;4388;5640;6177;7429;7966;9218;9755;11007;11544;12796;13333;14585;15122;16374;16911;
(100_100_11_12),273;591;810;2062;2380;2599;3851;4169;4388;5640;5958;6177;7429;7747;7966;9218;9536;9755;11007;11325;11544;12796;13114;13333;14585;14903;15122;16374;16692;16911;
(100_100_12_13),591;810;2380;2599;4169;4388;5958;6177;7747;7966;9536;9755;11325;11544;13114;13333;14903;15122;16692;16911;
(100_100_13_14),591;810;2380;2599;4169;4388;5958;6177;7747;7966;9536;9755;11325;11544;13114;13333;14903;15122;16692;16911;
(100_100_14_15),591;810;2380;2599;4169;4388;5958;6177;7747;7966;9536;9755;11325;11544;13114;13333;14903;15122;16692;16911;
(100_100_15_16),591;810;2380;2599;4169;4388;5958;6177;7747;7966;9536;9755;11325;11544;13114;13333;14903;15122;16692;16911;
(100_100_16_17),810;2599;4388;6177;7966;9755;11544;13333;15122;16911;
(100_100_17_18),810;2599;4388;6177;7966;9755;11544;13333;15122;16911;
(100_100_18_19),810;2599;4388;6177;7966;9755;11544;13333;15122;16911;
(100_100_19_20),810;2599;4388;6177;7966;9755;11544;13333;15122;16911;
(100_100_21_22),999;2788;4577;6366;8155;9944;11733;13522;15311;17100;
(100_100_22_23),999;2788;4577;6366;8155;9944;11733;13522;15311;17100;
(100_100_23_24),999;2788;4577;6366;8155;9944;11733;13522;15311;17100;
(100_100_25_26),1210;2999;4788;6577;8366;10155;11944;13733;15522;17311;
(100_100_26_27),1210;2999;4788;6577;8366;10155;11944;13733;15522;17311;
(100_100_27_28),1210;2999;4788;6577;8366;10155;11944;13733;15522;17311;
(100_100_28_29),1210;2999;4788;6577;8366;10155;11944;13733;15522;17311;
(100_100_29_30),1210;2999;4788;6577;8366;10155;11944;13733;15522;17311;
(100_100_34_35),1731;3520;5309;7098;8887;10676;12465;14254;16043;17832;
(100_100_35_36),1731;3520;5309;7098;8887;10676;12465;14254;16043;17832;
(100_100_36_37),1731;3520;5309;7098;8887;10676;12465;14254;16043;17832;
(100_100_37_38),1731;3520;5309;7098;8887;10676;12465;14254;16043;17832;
(100_100_38_39),1731;3520;5309;7098;8887;10676;12465;14254;16043;17832;
(100_100_39_40),1731;3520;5309;7098;8887;10676;12465;14254;16043;17832;
(100_100_40_41),1731;3520;5309;7098;8887;10676;12465;14254;16043;17832;
(100_100_41_42),1731;3520;5309;7098;8887;10676;12465;14254;16043;17832;
(100_100_42_43),1731;3520;5309;7098;8887;10676;12465;14254;16043;17832;
(100_100_43_44),1731;3520;5309;7098;8887;10676;12465;14254;16043;17832;
(100_100_44_45),1709;1731;3498;3520;5287;5309;7076;7098;8865;8887;10654;10676;12443;12465;14232;14254;16021;16043;17810;17832;
(100_100_45_46),1709;1731;1760;3498;3520;3549;5287;5309;5338;7076;7098;7127;8865;8887;8916;10654;10676;10705;12443;12465;12494;14232;14254;14283;16021;16043;16072;17810;17832;17861;
(100_100_6_7),216;2005;3794;5583;7372;9161;10950;12739;14528;16317;
(100_100_7_8),216;2005;3794;5583;7372;9161;10950;12739;14528;16317;
(100_646_12_13),273;393;2062;2182;3851;3971;5640;5760;7429;7549;9218;9338;11007;11127;12796;12916;14585;14705;16374;16494;
(100_646_16_17),591;699;2380;2488;4169;4277;5958;6066;7747;7855;9536;9644;11325;11433;13114;13222;14903;15011;16692;16800;
(100_646_20_21),810;2599;4388;6177;7966;9755;11544;13333;15122;16911;
(100_646_24_25),999;2788;4577;6366;8155;9944;11733;13522;15311;17100;
(100_646_28_46),1786;3575;5364;7153;8942;10731;12520;14309;16098;17887;
(100_646_30_31),1210;1317;2999;3106;4788;4895;6577;6684;8366;8473;10155;10262;11944;12051;13733;13840;15522;15629;17311;17418;
(100_646_30_46),1767;3556;5345;7134;8923;10712;12501;14290;16079;17868;
(100_646_31_46),1781;3570;5359;7148;8937;10726;12515;14304;16093;17882;
(100_646_32_46),1765;3554;5343;7132;8921;10710;12499;14288;16077;17866;
(100_646_36_46),1785;3574;5363;7152;8941;10730;12519;14308;16097;17886;
(100_646_46_47),1706;1709;1731;1739;1760;1768;3495;3498;3520;3528;3549;3557;5284;5287;5309;5317;5338;5346;7073;7076;7098;7106;7127;7135;8862;8865;8887;8895;8916;8924;10651;10654;10676;10684;10705;10713;12440;12443;12465;12473;12494;12502;14229;14232;14254;14262;14283;14291;16018;16021;16043;16051;16072;16080;17807;17810;17832;17840;17861;17869;
(100_646_8_9),95;216;1884;2005;3673;3794;5462;5583;7251;7372;9040;9161;10829;10950;12618;12739;14407;14528;16196;16317;
(1010_556_0_1),9;250;484;712;931;1798;2039;2273;2501;2720;3587;3828;4062;4290;4509;5376;5617;5851;6079;6298;7165;7406;7640;7868;8087;8954;9195;9429;9657;9876;10743;10984;11218;11446;11665;12532;12773;13007;13235;13454;14321;14562;14796;15024;15243;16110;16351;16585;16813;17032;
(1010_556_1_2),131;372;606;1920;2161;2395;3709;3950;4184;5498;5739;5973;7287;7528;7762;9076;9317;9551;10865;11106;11340;12654;12895;13129;14443;14684;14918;16232;16473;16707;
(1010_556_20_21),1127;1339;1406;1461;1595;1714;2916;3128;3195;3250;3384;3503;4705;4917;4984;5039;5173;5292;6494;6706;6773;6828;6962;7081;8283;8495;8562;8617;8751;8870;10072;10284;10351;10406;10540;10659;11861;12073;12140;12195;12329;12448;13650;13862;13929;13984;14118;14237;15439;15651;15718;15773;15907;16026;17228;17440;17507;17562;17696;17815;
(1010_556_21_22),1247;1551;1685;3036;3340;3474;4825;5129;5263;6614;6918;7052;8403;8707;8841;10192;10496;10630;11981;12285;12419;13770;14074;14208;15559;15863;15997;17348;17652;17786;
(1011_557_0_1),10;251;485;713;932;1799;2040;2274;2502;2721;3588;3829;4063;4291;4510;5377;5618;5852;6080;6299;7166;7407;7641;7869;8088;8955;9196;9430;9658;9877;10744;10985;11219;11447;11666;12533;12774;13008;13236;13455;14322;14563;14797;15025;15244;16111;16352;16586;16814;17033;
(1011_557_1_2),132;373;607;1921;2162;2396;3710;3951;4185;5499;5740;5974;7288;7529;7763;9077;9318;9552;10866;11107;11341;12655;12896;13130;14444;14685;14919;16233;16474;16708;
(1011_557_20_21),1128;1340;1407;1462;1596;1715;2917;3129;3196;3251;3385;3504;4706;4918;4985;5040;5174;5293;6495;6707;6774;6829;6963;7082;8284;8496;8563;8618;8752;8871;10073;10285;10352;10407;10541;10660;11862;12074;12141;12196;12330;12449;13651;13863;13930;13985;14119;14238;15440;15652;15719;15774;15908;16027;17229;17441;17508;17563;17697;17816;
(1011_557_21_22),1248;1552;3037;3341;4826;5130;6615;6919;8404;8708;10193;10497;11982;12286;13771;14075;15560;15864;17349;17653;
(1012_558_0_1),11;252;486;714;933;1800;2041;2275;2503;2722;3589;3830;4064;4292;4511;5378;5619;5853;6081;6300;7167;7408;7642;7870;8089;8956;9197;9431;9659;9878;10745;10986;11220;11448;11667;12534;12775;13009;13237;13456;14323;14564;14798;15026;15245;16112;16353;16587;16815;17034;
(1012_558_1_2),133;374;608;1922;2163;2397;3711;3952;4186;5500;5741;5975;7289;7530;7764;9078;9319;9553;10867;11108;11342;12656;12897;13131;14445;14686;14920;16234;16475;16709;
(1012_558_20_21),1129;1341;1463;1597;1716;2918;3130;3252;3386;3505;4707;4919;5041;5175;5294;6496;6708;6830;6964;7083;8285;8497;8619;8753;8872;10074;10286;10408;10542;10661;11863;12075;12197;12331;12450;13652;13864;13986;14120;14239;15441;15653;15775;15909;16028;17230;17442;17564;17698;17817;
(1012_558_21_22),1249;1553;1775;3038;3342;3564;4827;5131;5353;6616;6920;7142;8405;8709;8931;10194;10498;10720;11983;12287;12509;13772;14076;14298;15561;15865;16087;17350;17654;17876;
(1013_559_0_1),12;253;487;715;934;1801;2042;2276;2504;2723;3590;3831;4065;4293;4512;5379;5620;5854;6082;6301;7168;7409;7643;7871;8090;8957;9198;9432;9660;9879;10746;10987;11221;11449;11668;12535;12776;13010;13238;13457;14324;14565;14799;15027;15246;16113;16354;16588;16816;17035;
(1013_559_1_2),134;375;609;832;1923;2164;2398;2621;3712;3953;4187;4410;5501;5742;5976;6199;7290;7531;7765;7988;9079;9320;9554;9777;10868;11109;11343;11566;12657;12898;13132;13355;14446;14687;14921;15144;16235;16476;16710;16933;
(1013_559_20_21),1130;1342;1464;1598;1717;2919;3131;3253;3387;3506;4708;4920;5042;5176;5295;6497;6709;6831;6965;7084;8286;8498;8620;8754;8873;10075;10287;10409;10543;10662;11864;12076;12198;12332;12451;13653;13865;13987;14121;14240;15442;15654;15776;15910;16029;17231;17443;17565;17699;17818;
(1013_559_21_22),1250;1554;3039;3343;4828;5132;6617;6921;8406;8710;10195;10499;11984;12288;13773;14077;15562;15866;17351;17655;
(1014_560_0_1),13;254;488;716;935;1802;2043;2277;2505;2724;3591;3832;4066;4294;4513;5380;5621;5855;6083;6302;7169;7410;7644;7872;8091;8958;9199;9433;9661;9880;10747;10988;11222;11450;11669;12536;12777;13011;13239;13458;14325;14566;14800;15028;15247;16114;16355;16589;16817;17036;
(1014_560_1_2),135;376;610;833;1924;2165;2399;2622;3713;3954;4188;4411;5502;5743;5977;6200;7291;7532;7766;7989;9080;9321;9555;9778;10869;11110;11344;11567;12658;12899;13133;13356;14447;14688;14922;15145;16236;16477;16711;16934;
(1014_560_20_21),1131;1343;1465;1599;1718;2920;3132;3254;3388;3507;4709;4921;5043;5177;5296;6498;6710;6832;6966;7085;8287;8499;8621;8755;8874;10076;10288;10410;10544;10663;11865;12077;12199;12333;12452;13654;13866;13988;14122;14241;15443;15655;15777;15911;16030;17232;17444;17566;17700;17819;
(1014_560_21_22),1251;1408;1555;1776;3040;3197;3344;3565;4829;4986;5133;5354;6618;6775;6922;7143;8407;8564;8711;8932;10196;10353;10500;10721;11985;12142;12289;12510;13774;13931;14078;14299;15563;15720;15867;16088;17352;17509;17656;17877;
(1015_561_0_1),14;255;489;717;936;1803;2044;2278;2506;2725;3592;3833;4067;4295;4514;5381;5622;5856;6084;6303;7170;7411;7645;7873;8092;8959;9200;9434;9662;9881;10748;10989;11223;11451;11670;12537;12778;13012;13240;13459;14326;14567;14801;15029;15248;16115;16356;16590;16818;17037;
(1015_561_1_2),136;377;611;1048;1925;2166;2400;2837;3714;3955;4189;4626;5503;5744;5978;6415;7292;7533;7767;8204;9081;9322;9556;9993;10870;11111;11345;11782;12659;12900;13134;13571;14448;14689;14923;15360;16237;16478;16712;17149;
(1015_561_20_21),1132;1344;1466;1600;1719;2921;3133;3255;3389;3508;4710;4922;5044;5178;5297;6499;6711;6833;6967;7086;8288;8500;8622;8756;8875;10077;10289;10411;10545;10664;11866;12078;12200;12334;12453;13655;13867;13989;14123;14242;15444;15656;15778;15912;16031;17233;17445;17567;17701;17820;
(1015_561_21_22),1252;1556;3041;3345;4830;5134;6619;6923;8408;8712;10197;10501;11986;12290;13775;14079;15564;15868;17353;17657;
(1016_562_0_1),15;256;490;718;937;1804;2045;2279;2507;2726;3593;3834;4068;4296;4515;5382;5623;5857;6085;6304;7171;7412;7646;7874;8093;8960;9201;9435;9663;9882;10749;10990;11224;11452;11671;12538;12779;13013;13241;13460;14327;14568;14802;15030;15249;16116;16357;16591;16819;17038;
(1016_562_1_2),137;378;612;834;1926;2167;2401;2623;3715;3956;4190;4412;5504;5745;5979;6201;7293;7534;7768;7990;9082;9323;9557;9779;10871;11112;11346;11568;12660;12901;13135;13357;14449;14690;14924;15146;16238;16479;16713;16935;
(1016_562_20_21),1133;1345;1467;1601;1720;1777;2922;3134;3256;3390;3509;3566;4711;4923;5045;5179;5298;5355;6500;6712;6834;6968;7087;7144;8289;8501;8623;8757;8876;8933;10078;10290;10412;10546;10665;10722;11867;12079;12201;12335;12454;12511;13656;13868;13990;14124;14243;14300;15445;15657;15779;15913;16032;16089;17234;17446;17568;17702;17821;17878;
(1016_562_21_22),1253;1557;3042;3346;4831;5135;6620;6924;8409;8713;10198;10502;11987;12291;13776;14080;15565;15869;17354;17658;
(1017_563_0_1),16;257;491;719;938;1805;2046;2280;2508;2727;3594;3835;4069;4297;4516;5383;5624;5858;6086;6305;7172;7413;7647;7875;8094;8961;9202;9436;9664;9883;10750;10991;11225;11453;11672;12539;12780;13014;13242;13461;14328;14569;14803;15031;15250;16117;16358;16592;16820;17039;
(1017_563_1_2),138;379;613;835;1927;2168;2402;2624;3716;3957;4191;4413;5505;5746;5980;6202;7294;7535;7769;7991;9083;9324;9558;9780;10872;11113;11347;11569;12661;12902;13136;13358;14450;14691;14925;15147;16239;16480;16714;16936;
(1017_563_20_21),1134;1346;1468;1602;1721;2923;3135;3257;3391;3510;4712;4924;5046;5180;5299;6501;6713;6835;6969;7088;8290;8502;8624;8758;8877;10079;10291;10413;10547;10666;11868;12080;12202;12336;12455;13657;13869;13991;14125;14244;15446;15658;15780;15914;16033;17235;17447;17569;17703;17822;
(1017_563_21_22),1254;3043;4832;6621;8410;10199;11988;13777;15566;17355;
(1018_564_0_1),17;258;492;720;939;1806;2047;2281;2509;2728;3595;3836;4070;4298;4517;5384;5625;5859;6087;6306;7173;7414;7648;7876;8095;8962;9203;9437;9665;9884;10751;10992;11226;11454;11673;12540;12781;13015;13243;13462;14329;14570;14804;15032;15251;16118;16359;16593;16821;17040;
(1018_564_1_2),139;380;614;836;1049;1928;2169;2403;2625;2838;3717;3958;4192;4414;4627;5506;5747;5981;6203;6416;7295;7536;7770;7992;8205;9084;9325;9559;9781;9994;10873;11114;11348;11570;11783;12662;12903;13137;13359;13572;14451;14692;14926;15148;15361;16240;16481;16715;16937;17150;
(1018_564_20_21),1135;1469;1603;1722;2924;3258;3392;3511;4713;5047;5181;5300;6502;6836;6970;7089;8291;8625;8759;8878;10080;10414;10548;10667;11869;12203;12337;12456;13658;13992;14126;14245;15447;15781;15915;16034;17236;17570;17704;17823;
(1018_564_21_22),1255;1778;3044;3567;4833;5356;6622;7145;8411;8934;10200;10723;11989;12512;13778;14301;15567;16090;17356;17879;
(1019_565_0_1),18;259;493;721;940;1807;2048;2282;2510;2729;3596;3837;4071;4299;4518;5385;5626;5860;6088;6307;7174;7415;7649;7877;8096;8963;9204;9438;9666;9885;10752;10993;11227;11455;11674;12541;12782;13016;13244;13463;14330;14571;14805;15033;15252;16119;16360;16594;16822;17041;
(1019_565_1_2),140;381;615;837;1050;1929;2170;2404;2626;2839;3718;3959;4193;4415;4628;5507;5748;5982;6204;6417;7296;7537;7771;7993;8206;9085;9326;9560;9782;9995;10874;11115;11349;11571;11784;12663;12904;13138;13360;13573;14452;14693;14927;15149;15362;16241;16482;16716;16938;17151;
(1019_565_20_21),1136;1256;1470;1604;1723;2925;3045;3259;3393;3512;4714;4834;5048;5182;5301;6503;6623;6837;6971;7090;8292;8412;8626;8760;8879;10081;10201;10415;10549;10668;11870;11990;12204;12338;12457;13659;13779;13993;14127;14246;15448;15568;15782;15916;16035;17237;17357;17571;17705;17824;
(1019_565_21_22),1779;3568;5357;7146;8935;10724;12513;14302;16091;17880;
(101_101_10_11),270;2059;3848;5637;7426;9215;11004;12793;14582;16371;
(101_101_11_12),270;2059;3848;5637;7426;9215;11004;12793;14582;16371;
(101_101_15_16),1013;2802;4591;6380;8169;9958;11747;13536;15325;17114;
(101_101_16_17),1013;2802;4591;6380;8169;9958;11747;13536;15325;17114;
(101_101_17_18),821;1013;2610;2802;4399;4591;6188;6380;7977;8169;9766;9958;11555;11747;13344;13536;15133;15325;16922;17114;
(101_101_18_19),821;1013;2610;2802;4399;4591;6188;6380;7977;8169;9766;9958;11555;11747;13344;13536;15133;15325;16922;17114;
(101_101_19_20),821;1013;2610;2802;4399;4591;6188;6380;7977;8169;9766;9958;11555;11747;13344;13536;15133;15325;16922;17114;
(101_101_20_21),1013;2802;4591;6380;8169;9958;11747;13536;15325;17114;
(101_101_21_22),1013;2802;4591;6380;8169;9958;11747;13536;15325;17114;
(101_101_22_23),1013;2802;4591;6380;8169;9958;11747;13536;15325;17114;
(101_101_23_24),1013;2802;4591;6380;8169;9958;11747;13536;15325;17114;
(101_101_25_26),1214;3003;4792;6581;8370;10159;11948;13737;15526;17315;
(101_101_26_27),1214;3003;4792;6581;8370;10159;11948;13737;15526;17315;
(101_101_27_28),1214;3003;4792;6581;8370;10159;11948;13737;15526;17315;
(101_101_28_29),1214;3003;4792;6581;8370;10159;11948;13737;15526;17315;
(101_101_29_30),1214;3003;4792;6581;8370;10159;11948;13737;15526;17315;
(101_101_37_38),1724;3513;5302;7091;8880;10669;12458;14247;16036;17825;
(101_101_38_39),1724;3513;5302;7091;8880;10669;12458;14247;16036;17825;
(101_101_39_40),1724;3513;5302;7091;8880;10669;12458;14247;16036;17825;
(101_101_40_41),1724;3513;5302;7091;8880;10669;12458;14247;16036;17825;
(101_101_41_42),1724;3513;5302;7091;8880;10669;12458;14247;16036;17825;
(101_101_42_43),1724;3513;5302;7091;8880;10669;12458;14247;16036;17825;
(101_101_43_44),1724;3513;5302;7091;8880;10669;12458;14247;16036;17825;
(101_101_44_45),1724;3513;5302;7091;8880;10669;12458;14247;16036;17825;
(101_101_45_46),1724;3513;5302;7091;8880;10669;12458;14247;16036;17825;
(101_101_7_8),105;1894;3683;5472;7261;9050;10839;12628;14417;16206;
(101_101_9_10),270;2059;3848;5637;7426;9215;11004;12793;14582;16371;
(101_647_12_13),270;352;2059;2141;3848;3930;5637;5719;7426;7508;9215;9297;11004;11086;12793;12875;14582;14664;16371;16453;
