Pax_group_id,total_demand
1829,400
2324,400
2325,400
2326,400
2327,400
2328,400
2329,400
2330,400
2331,400
2332,400
2333,400
2334,400
2335,400
2336,400
2337,400
2338,400
2339,400
2340,400
2341,400
2342,400
2343,400
2344,400
2345,400
2346,400
2347,400
2348,400
2349,400
2350,400
2351,400
2352,400
2353,400
2354,400
2355,400
2356,400
2357,400
2358,400
2359,400
2360,400
2362,400
2364,400
2366,400
2367,400
2368,400
2369,400
2370,400
2371,400
2372,400
2373,400
2374,400
2375,400
2376,400
2381,400
2382,400
2383,400
2384,400
2385,400
2386,400
2387,400
2388,400
2389,400
2390,400
2391,400
2392,400
2393,400
2394,400
2395,400
2396,400
2397,400
2398,400
2399,400
2400,400
2401,400
2402,400
2403,400
2404,400
2405,400
2406,400
2407,400
2408,400
2409,400
2410,400
2411,400
2412,400
2413,400
2414,400
2415,400
2416,400
2417,400
2418,400
2419,400
2420,400
2421,400
2422,400
2423,400
2424,400
2425,400
2426,400
2427,400
2429,400
2430,400
2431,400
2432,400
2433,400
2434,400
2435,400
2436,400
2437,400
2438,400
2439,400
2440,400
2443,400
2444,400
2447,400
2452,400
2454,400
2456,400
2457,400
2458,400
2459,400
2464,400
2465,400
2466,400
2468,400
2469,400
2470,400
2471,400
2476,400
2477,400
2478,400
2479,400
2480,400
2481,400
2482,400
2483,400
2484,400
2544,400
2550,400
2552,400
2553,400
2554,400
2555,400
2556,400
2590,400
2602,400
2603,400
2679,400
3098,400
3099,400
3100,400
3101,400
3102,400
3103,400
3104,400
3105,400
3106,400
3107,400
3108,400
3109,400
3110,400
3111,400
3112,400
3113,400
3114,400
3115,400
3116,400
3117,400
3118,400
3119,400
3120,400
3121,400
3122,400
3123,400
3124,400
3125,400
3126,400
3127,400
3128,400
3129,400
3130,400
3131,400
3132,400
3133,400
3134,400
3142,400
3144,400
3146,400
3147,400
3149,400
3150,400
3157,400
3159,400
3160,400
3161,400
3162,400
3163,400
3164,400
3165,400
3166,400
3167,400
3168,400
3169,400
3170,400
3171,400
3172,400
3173,400
3174,400
3175,400
3176,400
3177,400
3178,400
3179,400
3180,400
3181,400
3182,400
3183,400
3184,400
3185,400
3186,400
3187,400
3188,400
3189,400
3190,400
3191,400
3192,400
3193,400
3194,400
3195,400
3196,400
3197,400
3198,400
3199,400
3200,400
3201,400
3202,400
3203,400
3204,400
3205,400
3206,400
3207,400
3208,400
3209,400
3210,400
3211,400
3212,400
3213,400
3214,400
3217,400
3218,400
3226,400
3228,400
3230,400
3231,400
3232,400
3233,400
3238,400
3239,400
3240,400
3241,400
3242,400
3243,400
3244,400
3245,400
3250,400
3251,400
3252,400
3253,400
3254,400
3255,400
3256,400
3257,400
3258,400
3364,400
3365,400
3366,400
3367,400
3376,400
3377,400
3378,400
3379,400
3388,400
3392,400
3393,400
3453,400
4259,400
4260,400
4261,400
4262,400
4263,400
4264,400
4265,400
4266,400
4267,400
4268,400
4269,400
4270,400
4271,400
4272,400
4273,400
4274,400
4275,400
4276,400
4277,400
4278,400
4279,400
4280,400
4281,400
4282,400
4283,400
4284,400
4285,400
4286,400
4287,400
4288,400
4289,400
4290,400
4291,400
4292,400
4293,400
4294,400
4301,400
4303,400
4304,400
4305,400
4306,400
4307,400
4308,400
4309,400
4310,400
4311,400
4316,400
4318,400
4320,400
4321,400
4322,400
4323,400
4324,400
4325,400
4326,400
4327,400
4328,400
4329,400
4330,400
4331,400
4332,400
4333,400
4334,400
4335,400
4336,400
4337,400
4338,400
4339,400
4340,400
4341,400
4342,400
4343,400
4344,400
4345,400
4346,400
4347,400
4348,400
4349,400
4350,400
4351,400
4352,400
4353,400
4354,400
4355,400
4356,400
4357,400
4358,400
4359,400
4360,400
4361,400
4362,400
4364,400
4365,400
4366,400
4367,400
4368,400
4369,400
4370,400
4371,400
4372,400
4373,400
4374,400
4375,400
4378,400
4379,400
4387,400
4389,400
4390,400
4391,400
4392,400
4393,400
4394,400
4405,400
4415,400
4417,400
4418,400
4419,400
4537,400
4539,400
4614,400
5040,400
5041,400
5069,400
5070,400
5071,400
5072,400
5073,400
5074,400
5075,400
5076,400
5077,400
5078,400
5079,400
5080,400
5081,400
5082,400
5083,400
5085,400
5086,400
5087,400
5088,400
5089,400
5090,400
5091,400
5092,400
5093,400
5094,400
5095,400
5096,400
5097,400
5098,400
5099,400
5100,400
5101,400
5103,400
5105,400
5108,400
5109,400
5111,400
5161,400
5162,400
5165,400
5166,400
5167,400
5168,400
5173,400
5175,400
5178,400
5196,400
5198,400
5202,400
5254,400
5255,400
5256,400
5257,400
5258,400
5259,400
5260,400
5261,400
5262,400
5263,400
5264,400
5265,400
5294,400
5821,400
5823,400
5825,400
5881,400
5883,400
5885,400
5887,400
5889,400
5891,400
5893,400
5895,400
5897,400
5901,400
5903,400
5905,400
5913,400
5915,400
5917,400
5919,400
5921,400
5923,400
5925,400
5927,400
5929,400
5931,400
5933,400
5935,400
5937,400
5939,400
5941,400
5943,400
5947,400
5951,400
5957,400
5959,400
5961,400
5963,400
5965,400
5967,400
6055,400
6059,400
6063,400
6065,400
6067,400
6069,400
6071,400
6073,400
6075,400
6077,400
6083,400
6087,400
6089,400
6091,400
6093,400
6095,400
6097,400
6099,400
6101,400
6111,400
6113,400
6115,400
6119,400
6121,400
6255,400
6257,400
6265,400
6968,400
6969,400
6970,400
6971,400
6972,400
6973,400
6974,400
6975,400
6976,400
6977,400
6978,400
6979,400
6980,400
6981,400
6982,400
6983,400
6984,400
6986,400
6987,400
6990,400
6991,400
6992,400
6996,400
7003,400
7030,400
7032,400
7033,400
7034,400
7035,400
7037,400
7039,400
7042,400
7043,400
7044,400
7045,400
7046,400
7047,400
7048,400
7049,400
7050,400
7051,400
7052,400
7053,400
7054,400
7055,400
7056,400
7057,400
7059,400
7099,400
7100,400
7101,400
7102,400
7107,400
7111,400
7112,400
7113,400
7114,400
7123,400
7124,400
7125,400
7765,400
7766,400
7770,400
7771,400
7772,400
7773,400
7774,400
7776,400
7826,400
7828,400
7829,400
7830,400
7831,400
7832,400
7833,400
7834,400
7835,400
7836,400
7837,400
7838,400
7839,400
7840,400
7841,400
7842,400
7843,400
7844,400
7846,400
7847,400
7848,400
7849,400
7851,400
7857,400
