space_time_arc, arc_flow
(1046_592_0_1),14.323862
(1046_592_1_2),16.000000
(1047_593_0_1),1.556709
(1047_593_1_2),16.000000
(1048_594_0_1),18.420647
(1048_594_1_2),12.000000
(1049_595_0_1),6.323343
(1049_595_1_2),8.000000
(105_105_6_7),4.000000
(105_105_7_8),4.000000
(105_651_8_9),4.000000
(1050_596_0_1),17.476696
(1050_596_1_2),14.120627
(1051_597_0_1),8.000000
(1051_597_1_2),17.531096
(1052_598_0_1),13.957376
(1052_598_1_2),9.676657
(1053_599_0_1),11.999983
(1053_599_1_2),12.000000
(1054_600_0_1),16.000000
(1054_600_1_2),20.000000
(1055_601_0_1),17.624542
(1055_601_1_2),16.000000
(1056_602_0_1),16.338617
(1057_603_0_1),16.000000
(1057_603_1_2),20.000000
(1058_604_0_1),7.538093
(1058_604_1_2),8.962152
(1059_605_0_1),15.999263
(1059_605_1_2),15.817223
(106_106_5_6),6.547547
(106_106_6_7),6.547547
(106_106_7_8),6.547547
(106_652_8_9),4.000000
(1060_606_0_1),13.046596
(1060_606_1_2),20.000000
(1061_607_0_1),15.981226
(1061_607_1_2),12.458358
(1062_608_0_1),12.000000
(1062_608_1_2),11.989991
(1063_609_0_1),15.999864
(1063_609_1_2),9.881797
(1064_610_0_1),8.314814
(1064_610_1_2),12.000000
(1065_611_0_1),18.669935
(1065_611_1_2),11.321350
(1066_612_0_1),13.356537
(1066_612_1_2),5.662993
(1067_613_0_1),11.520412
(1068_614_0_1),6.516142
(1068_614_1_2),3.999941
(1069_615_0_1),13.441431
(107_107_5_6),0.732384
(107_107_6_7),0.732384
(107_107_7_8),0.732384
(107_653_8_9),4.000000
(1070_616_0_1),13.722534
(1070_616_1_2),5.047880
(1071_617_0_1),15.555910
(1071_617_1_2),8.000000
(1072_618_0_1),6.516483
(1072_618_1_2),8.000000
(1073_619_0_1),7.999835
(1073_619_1_2),12.000000
(1074_620_0_1),16.000000
(1074_620_1_2),11.999002
(1075_621_0_1),13.309920
(1075_621_1_2),4.000000
(1076_622_0_1),15.990172
(1076_622_1_2),0.950234
(1077_623_0_1),8.725146
(1077_623_1_2),3.995936
(1078_624_0_1),15.878079
(1078_624_1_2),4.000000
(1079_625_0_1),17.065266
(1079_625_1_2),5.465790
(108_108_6_7),2.990241
(108_108_7_8),6.286789
(108_654_8_9),4.000000
(1080_626_0_1),16.540382
(1080_626_1_2),10.775470
(1081_627_0_1),16.121437
(1081_627_1_2),15.998971
(1082_628_0_1),10.207545
(1082_628_1_2),14.508111
(1083_629_0_1),4.000000
(1083_629_1_2),9.626319
(1084_630_0_1),14.753584
(1084_630_1_2),2.934734
(1085_631_0_1),8.000000
(1085_631_1_2),6.110823
(1086_632_0_1),11.306361
(1086_632_1_2),12.000000
(1087_633_0_1),19.992249
(1087_633_1_2),11.998695
(1088_634_0_1),12.840706
(1088_634_1_2),4.000000
(1089_635_0_1),18.712032
(1089_635_1_2),10.611033
(109_109_2_3),1.139401
(109_109_3_4),1.139401
(109_109_4_5),1.139401
(109_109_5_6),1.139401
(109_109_6_7),1.139401
(109_109_7_8),1.139401
(109_655_8_9),4.000000
(1090_636_0_1),10.962540
(1090_636_1_2),4.000000
(1091_637_0_1),5.909541
(1091_637_1_2),12.000000
(1092_638_0_1),17.840080
(1092_638_1_2),19.996185
(1093_639_0_1),12.373934
(1093_639_1_2),11.997473
(1094_640_0_1),9.189676
(1094_640_1_2),11.993725
(1095_641_0_1),16.331711
(1095_641_1_2),15.568686
(1096_642_0_1),15.999756
(1096_642_1_2),16.000000
(1097_643_0_1),13.456223
(1097_643_1_2),4.394901
(1098_644_0_1),14.653342
(1098_644_1_2),4.000000
(1099_645_0_1),13.499058
(1099_645_1_2),7.029665
(11_11_6_7),1.224530
(11_11_7_8),8.000000
(11_557_8_9),4.000000
(110_110_5_6),4.000000
(110_110_6_7),4.000000
(110_110_7_8),4.000000
(110_656_8_9),4.000000
(1100_646_0_1),18.371628
(1100_646_1_2),13.615355
(1100_646_10_11),4.000000
(1101_647_0_1),18.350876
(1101_647_1_2),10.141800
(1102_648_0_1),13.206873
(1103_649_0_1),18.950897
(1103_649_1_2),12.000000
(1104_650_0_1),14.769388
(1104_650_1_2),14.840006
(1105_651_0_1),19.864017
(1105_651_1_2),16.548664
(1106_652_0_1),8.966654
(1106_652_1_2),9.354344
(1107_653_0_1),14.064338
(1107_653_1_2),14.860471
(1108_654_0_1),13.494268
(1108_654_1_2),12.172541
(1109_655_0_1),13.139401
(1109_655_1_2),8.703453
(111_111_7_8),1.380316
(111_657_8_9),4.000000
(1110_656_0_1),8.407846
(1110_656_1_2),15.998866
(1111_657_0_1),11.997579
(1111_657_1_2),12.479794
(1112_658_0_1),5.849734
(1112_658_1_2),12.000000
(1113_659_0_1),11.402792
(1113_659_1_2),15.123853
(1114_660_0_1),15.981774
(1114_660_1_2),11.999949
(1115_661_0_1),15.984681
(1115_661_1_2),16.000000
(1116_662_0_1),20.000000
(1116_662_1_2),20.000000
(1117_663_0_1),15.971378
(1117_663_1_2),9.852163
(1118_664_0_1),16.000000
(1118_664_1_2),12.068311
(1119_665_0_1),20.000000
(1119_665_1_2),12.028622
(112_112_5_6),8.000000
(112_112_6_7),8.000000
(112_112_7_8),8.000000
(112_658_8_9),4.000000
(1120_666_0_1),12.934445
(1120_666_1_2),14.889116
(1121_667_0_1),16.000000
(1121_667_1_2),14.745045
(1122_668_0_1),17.350918
(1122_668_1_2),12.000000
(113_113_2_3),1.254955
(113_113_3_4),1.254955
(113_113_4_5),1.254955
(113_113_5_6),1.254955
(113_113_6_7),1.254955
(113_113_7_8),1.254955
(113_659_8_9),4.000000
(114_114_5_6),4.000000
(114_114_6_7),4.000000
(114_114_7_8),4.000000
(114_660_8_9),4.000000
(115_661_8_9),4.000000
(116_116_5_6),4.000000
(116_116_6_7),8.000000
(116_116_7_8),8.000000
(116_662_8_9),4.000000
(117_117_6_7),4.000000
(117_117_7_8),4.000000
(117_663_8_9),4.000000
(118_118_6_7),4.000000
(118_118_7_8),4.000000
(118_664_8_9),4.000000
(119_119_6_7),8.000000
(119_119_7_8),8.000000
(119_665_8_9),4.000000
(12_12_7_8),8.000000
(12_558_8_9),4.000000
(120_120_5_6),4.000000
(120_120_6_7),4.000000
(120_120_7_8),4.000000
(120_666_8_9),4.000000
(121_121_2_3),4.000000
(121_121_3_4),4.000000
(121_121_4_5),4.000000
(121_121_5_6),8.000000
(121_121_6_7),12.000000
(121_121_7_8),12.000000
(121_667_8_9),4.000000
(122_122_6_7),4.000000
(122_122_7_8),4.000000
(122_668_8_9),4.000000
(123_123_6_7),4.000000
(123_123_7_8),4.000000
(123_669_8_9),4.000000
(124_124_7_8),8.000000
(124_670_8_9),4.000000
(125_671_8_9),4.000000
(129_129_6_7),4.000000
(129_129_7_8),4.000000
(129_675_8_9),4.000000
(13_13_7_8),3.998832
(13_559_8_9),3.999954
(130_676_8_9),4.000000
(133_133_6_7),4.000000
(133_133_7_8),4.000000
(133_679_8_9),4.000000
(134_680_8_9),3.999863
(135_681_8_9),3.999832
(136_682_8_9),4.000000
(14_14_7_8),4.093056
(14_560_8_9),4.000000
(145_145_6_7),4.000000
(145_145_7_8),4.000000
(145_691_8_9),4.000000
(147_693_8_9),4.000000
(15_15_7_8),1.114215
(15_561_8_9),4.000000
(157_157_7_8),2.712032
(157_703_8_9),4.000000
(159_705_8_9),4.000000
(16_16_6_7),4.457355
(16_16_7_8),4.457355
(16_562_8_9),4.000000
(161_161_6_7),4.000000
(161_161_7_8),4.000000
(161_707_8_9),4.000000
(17_17_4_5),3.913628
(17_17_5_6),3.913628
(17_17_6_7),3.913628
(17_17_7_8),6.603385
(17_563_8_9),4.000000
(18_18_5_6),4.860485
(18_18_6_7),4.860485
(18_18_7_8),4.860485
(18_564_8_9),4.000000
(19_19_5_6),3.596085
(19_19_6_7),3.596085
(19_19_7_8),3.596085
(19_565_8_9),4.000000
(2_2_3_4),1.073613
(2_2_4_5),1.073613
(2_2_5_6),1.073613
(2_2_6_7),5.073613
(2_2_7_8),9.073613
(2_548_8_9),3.999912
(20_20_2_3),0.000000
(20_20_3_4),0.000000
(20_20_4_5),4.000000
(20_20_5_6),4.000000
(20_20_6_7),4.000000
(20_20_7_8),4.000000
(20_566_8_9),4.000000
(21_21_2_3),1.009942
(21_21_3_4),1.009942
(21_21_4_5),1.009942
(21_21_5_6),1.009942
(21_21_6_7),1.009942
(21_21_7_8),1.009942
(21_567_8_9),4.000000
(22_22_4_5),0.000000
(22_22_5_6),0.000000
(22_22_6_7),4.000000
(22_22_7_8),8.000000
(22_568_8_9),3.999856
(23_23_5_6),6.073581
(23_23_6_7),6.073581
(23_23_7_8),6.073581
(23_569_8_9),4.000000
(230_230_6_7),4.000000
(230_230_7_8),4.000000
(230_776_8_9),4.000000
(232_232_7_8),4.000000
(232_778_8_9),4.000000
(24_24_5_6),0.000000
(24_24_6_7),0.000000
(24_24_7_8),0.000000
(24_570_8_9),4.000000
(25_25_7_8),0.000000
(25_571_8_9),4.000000
(26_26_3_4),4.000000
(26_26_4_5),4.000000
(26_26_5_6),4.000000
(26_26_6_7),4.000000
(26_26_7_8),4.000000
(26_572_8_9),4.000000
(27_27_3_4),4.000000
(27_27_4_5),4.000000
(27_27_5_6),4.000000
(27_27_6_7),4.000000
(27_27_7_8),4.000000
(27_573_8_9),4.000000
(279_825_8_9),4.000000
(28_28_5_6),3.020062
(28_28_6_7),3.020062
(28_28_7_8),3.020062
(28_574_8_9),4.000000
(281_281_6_7),4.000000
(281_281_7_8),4.000000
(281_827_8_9),4.000000
(29_29_5_6),0.852856
(29_29_6_7),0.852856
(29_29_7_8),0.852856
(29_575_8_9),4.000000
(295_841_8_9),4.000000
(297_297_6_7),4.000000
(297_297_7_8),4.000000
(297_843_8_9),4.000000
(3_3_7_8),2.516483
(3_549_8_9),4.000000
(30_30_5_6),0.000000
(30_30_6_7),0.000000
(30_30_7_8),0.000000
(30_576_8_9),4.000000
(304_304_6_7),4.000000
(304_304_7_8),4.000000
(304_850_8_9),4.000000
(31_31_7_8),0.170384
(31_577_8_9),4.000000
(32_32_7_8),2.659955
(32_578_8_9),4.000000
(33_33_5_6),0.407847
(33_33_6_7),0.407847
(33_33_7_8),0.407847
(33_579_8_9),4.000000
(34_34_6_7),1.797489
(34_34_7_8),1.797489
(34_580_8_9),4.000000
(35_35_6_7),0.091079
(35_35_7_8),0.091079
(35_581_8_9),4.000000
(356_356_6_7),4.000000
(356_356_7_8),4.000000
(356_902_8_9),4.000000
(36_36_6_7),4.000000
(36_36_7_8),4.000000
(36_582_8_9),4.000000
(37_37_3_4),1.549891
(37_37_4_5),1.549891
(37_37_5_6),1.549891
(37_37_6_7),1.549891
(37_37_7_8),1.549891
(37_583_8_9),4.000000
(38_584_8_9),4.000000
(39_39_3_4),4.000000
(39_39_4_5),4.000000
(39_39_5_6),4.000000
(39_39_6_7),4.000000
(39_39_7_8),4.000000
(39_585_8_9),4.000000
(394_601_10_11),4.000000
(397_604_15_16),4.000000
(397_604_4_5),0.173238
(398_399_15_16),4.000000
(399_537_10_14),4.000000
(399_537_11_15),7.817677
(399_537_12_16),1.797780
(399_537_15_19),8.000000
(399_537_16_20),4.000000
(399_537_17_21),8.000000
(399_537_18_22),7.994769
(399_537_22_26),4.000000
(399_609_19_20),4.000000
(399_609_3_4),2.118203
(399_609_6_7),8.000000
(4_4_7_8),0.000000
(4_550_8_9),4.000000
(40_40_3_4),4.000000
(40_40_4_5),4.000000
(40_40_5_6),4.000000
(40_40_6_7),4.000000
(40_40_7_8),4.000000
(40_586_8_9),4.000000
(400_398_13_15),4.000000
(400_609_10_13),0.000000
(400_609_3_6),4.000000
(401_400_10_13),4.000000
(401_590_2_4),19.193480
(401_590_5_7),6.611467
(403_403_19_20),4.000000
(403_404_10_13),4.000000
(403_404_16_19),4.000000
(403_611_11_13),4.000000
(403_611_13_15),4.000000
(403_611_2_4),5.046596
(403_611_20_22),4.000000
(403_611_5_7),8.000000
(404_405_13_14),4.000000
(404_405_14_15),8.000000
(404_405_19_20),4.000000
(404_680_11_13),4.000000
(404_680_19_21),4.000000
(405_488_14_15),0.000000
(405_488_15_16),8.000000
(405_488_20_21),7.997792
(41_41_6_7),8.000000
(41_41_7_8),8.000000
(41_587_8_9),4.000000
(42_588_8_9),4.000000
(425_426_13_15),4.000000
(425_426_15_17),4.000000
(426_441_15_19),4.000000
(426_441_17_21),4.000000
(429_593_10_11),4.000000
(43_589_8_9),4.000000
(431_432_11_14),4.000000
(431_597_3_5),8.000000
(432_433_14_16),4.000000
(432_599_4_6),4.000000
(433_434_10_12),0.000000
(433_434_12_14),4.000000
(433_434_16_18),4.000000
(433_616_3_6),4.000000
(434_435_12_15),0.000000
(434_435_14_17),4.000000
(434_435_17_20),0.000000
(434_435_18_21),4.000000
(435_435_10_11),3.999555
(435_435_12_13),2.926299
(435_436_11_13),3.999555
(435_436_13_15),2.926299
(435_436_14_16),4.000000
(435_436_15_17),0.000000
(435_436_17_19),4.000000
(435_436_20_22),0.000000
(435_436_21_23),4.000000
(435_436_31_33),3.147144
(435_436_32_34),4.000000
(435_436_33_35),3.908921
(435_436_34_36),1.797489
(435_436_37_39),7.033346
(435_436_38_40),3.592153
(435_436_42_44),4.000000
(435_552_24_25),4.000000
(435_552_3_4),0.444090
(435_554_13_15),6.519774
(435_554_15_17),4.000000
(435_554_16_18),4.000000
(435_554_17_19),4.000000
(435_554_5_7),3.999904
(436_435_29_31),3.147144
(436_435_30_32),4.000000
(436_435_32_34),2.277282
(436_435_36_38),3.592153
(436_435_40_42),4.000000
(436_436_16_17),4.000000
(436_436_26_27),4.000000
(436_436_28_29),3.147144
(436_436_29_30),4.000000
(436_436_31_32),5.770879
(436_436_35_36),3.592153
(436_436_39_40),4.000000
(436_437_13_16),3.999555
(436_437_17_20),4.000000
(436_437_22_25),0.000000
(436_437_23_26),8.000000
(436_437_30_33),4.000000
(436_437_33_36),3.147144
(436_437_34_37),8.000000
(436_437_35_38),3.908921
(436_437_36_39),1.797489
(436_437_39_42),7.033346
(436_437_40_43),7.592153
(436_437_44_47),8.000000
(436_496_15_16),2.926299
(436_496_17_18),0.000000
(436_496_19_20),4.000000
(436_496_24_25),3.999984
(436_496_26_27),8.000000
(436_496_27_28),6.633603
(436_496_29_30),7.997159
(436_496_30_31),4.000000
(436_496_32_33),4.000000
(436_496_33_34),3.826762
(436_496_34_35),4.000000
(436_496_37_38),7.992058
(436_496_38_39),4.000000
(437_436_21_24),3.999984
(437_436_23_26),4.000000
(437_436_26_29),4.000000
(437_436_27_30),4.000000
(437_436_29_32),4.000000
(437_436_30_33),3.826762
(437_436_31_34),4.000000
(437_436_34_37),4.000000
(437_436_35_38),4.000000
(437_437_16_17),3.995439
(437_437_18_19),4.000000
(437_437_22_23),8.000000
(437_437_25_26),0.000000
(437_437_26_27),8.000000
(437_437_27_28),9.761003
(437_437_28_29),7.624757
(437_437_29_30),4.633282
(437_437_42_43),7.033346
(437_438_26_30),4.000000
(437_438_33_37),4.000000
(437_438_43_47),7.033346
(437_438_47_51),8.000000
(437_554_3_4),4.000000
(437_556_10_13),0.000000
(437_556_11_14),1.763721
(437_556_12_15),2.236280
(437_556_13_16),0.000000
(437_556_14_17),0.707144
(437_556_15_18),0.000000
(437_556_16_19),7.999555
(437_556_17_20),9.552148
(437_556_18_21),2.433307
(437_556_19_22),8.000000
(437_556_20_23),11.999862
(437_556_21_24),2.118203
(437_556_22_25),19.322552
(437_556_23_26),8.000000
(437_556_24_27),7.999891
(437_556_25_28),12.172407
(437_556_26_29),11.037848
(437_556_27_30),9.012074
(437_556_28_31),13.761003
(437_556_29_32),11.607613
(437_556_30_33),15.998919
(437_556_31_34),15.512671
(437_556_32_35),9.629046
(437_556_33_36),16.000000
(437_556_34_37),8.755600
(437_556_35_38),12.000000
(437_556_36_39),7.147144
(437_556_37_40),12.000000
(437_556_38_41),11.326924
(437_556_39_42),5.797489
(437_556_40_43),8.000000
(437_556_41_44),11.062103
(437_556_42_45),12.000000
(437_556_43_46),11.592153
(437_556_44_47),16.000000
(437_556_45_48),12.000000
(437_556_46_49),8.000000
(437_556_47_50),13.961541
(437_556_48_51),8.000000
(437_556_49_52),5.287969
(437_556_50_53),7.599979
(437_556_51_54),7.033346
(437_556_52_55),8.000000
(437_556_53_56),7.267616
(437_556_54_57),8.000000
(437_556_55_58),8.000000
(438_437_13_17),4.000000
(438_437_14_18),0.000000
(438_437_17_21),2.118203
(438_437_18_22),4.000000
(438_437_19_23),4.000000
(438_437_20_24),3.999891
(438_437_21_25),4.173238
(438_437_22_26),4.000000
(438_437_23_27),4.000000
(438_437_24_28),8.000000
(438_437_25_29),4.000000
(438_437_26_30),8.000000
(438_437_27_31),11.997595
(438_437_29_33),8.000000
(438_437_30_34),6.370954
(438_437_31_35),8.000000
(438_437_37_41),11.062103
(438_437_38_42),12.000000
(438_437_40_44),8.000000
(438_437_41_45),12.000000
(438_437_42_46),8.000000
(438_437_43_47),9.961541
(438_437_44_48),0.000000
(438_437_45_49),5.287969
(438_437_46_50),3.599979
(438_437_47_51),3.033346
(438_437_48_52),4.000000
(438_437_49_53),3.267616
(438_437_50_54),8.000000
(438_437_51_55),4.000000
(438_439_19_21),4.000000
(438_439_25_27),7.771802
(438_439_26_28),8.097195
(438_535_24_31),4.000000
(438_535_27_34),4.000000
(438_535_28_35),4.000000
(438_535_29_36),4.000000
(438_535_30_37),0.000000
(438_535_31_38),1.287968
(438_540_20_22),3.826762
(438_540_4_6),2.450109
(439_438_11_13),4.000000
(439_438_12_14),0.000000
(439_438_15_17),2.118203
(439_438_16_18),4.000000
(439_438_17_19),4.000000
(439_438_18_20),3.999891
(439_438_2_4),2.450109
(439_438_20_22),4.000000
(439_438_21_23),4.000000
(439_438_22_24),4.000000
(439_438_23_25),4.000000
(439_438_25_27),11.997595
(439_438_27_29),8.000000
(439_438_28_30),6.370954
(439_438_29_31),5.287969
(439_439_10_11),4.000000
(439_439_13_14),1.046596
(439_439_14_15),2.953404
(439_439_15_16),2.953404
(439_439_16_17),4.000000
(439_440_18_20),4.000000
(439_614_11_13),8.000000
(439_614_14_16),2.008748
(439_614_16_18),2.953404
(439_614_20_22),4.000000
(439_614_21_23),4.000000
(439_614_26_28),4.000000
(44_590_8_9),4.000000
(440_439_10_12),0.000000
(440_439_13_15),2.118203
(440_439_14_16),4.000000
(440_439_16_18),3.999891
(440_439_19_21),4.000000
(440_439_20_22),4.000000
(440_439_21_23),4.000000
(440_439_23_25),11.997595
(440_439_24_26),4.000000
(441_440_14_16),3.999891
(441_440_17_19),4.000000
(441_440_19_21),4.000000
(441_440_21_23),7.997595
(441_440_22_24),4.000000
(441_596_12_13),7.447965
(441_596_3_4),2.128030
(441_596_6_7),4.000000
(449_663_4_5),8.000000
(45_45_6_7),4.000000
(45_45_7_8),4.000000
(45_591_8_9),4.000000
(451_452_10_12),2.860599
(452_525_11_13),2.990241
(452_525_2_4),9.380316
(452_525_3_5),2.733637
(452_652_10_12),1.009759
(452_652_12_14),2.860599
(452_652_13_15),4.000000
(452_652_16_18),4.000000
(453_650_10_13),4.000000
(453_650_13_16),4.000000
(46_46_5_6),7.999891
(46_46_6_7),7.999891
(46_46_7_8),7.999891
(46_592_8_9),3.999891
(47_47_6_7),4.000000
(47_47_7_8),4.000000
(47_593_8_9),4.000000
(475_706_16_19),4.000000
(476_477_10_13),4.000000
(476_477_13_16),4.000000
(476_477_19_22),4.000000
(476_705_5_7),4.000000
(477_477_24_25),3.267616
(477_477_25_26),8.000000
(477_478_14_16),4.000000
(477_478_15_17),3.599979
(477_478_17_19),4.000000
(477_478_25_27),7.267616
(477_478_26_28),15.567341
(477_478_3_5),6.712031
(477_478_4_6),2.611033
(477_503_11_12),7.999756
(477_503_13_14),4.000000
(477_503_16_17),4.000000
(477_503_20_21),4.000000
(477_503_22_23),4.000000
(478_479_13_16),4.000000
(478_479_16_19),4.000000
(478_479_17_20),3.599979
(478_479_19_22),4.000000
(478_479_27_30),7.267616
(478_479_28_31),8.000000
(478_633_10_12),1.287968
(478_703_3_4),4.000000
(478_703_5_6),6.712031
(478_703_6_7),2.611033
(479_480_10_11),4.000000
(479_480_16_17),4.000000
(479_480_19_20),4.000000
(479_480_20_21),3.599979
(479_480_22_23),4.000000
(479_480_30_31),7.267616
(479_480_31_32),8.000000
(48_48_6_7),7.999984
(48_48_7_8),7.999984
(48_594_8_9),3.999984
(480_481_21_22),3.599979
(480_481_31_32),3.267616
(480_481_32_33),8.000000
(480_484_11_13),4.000000
(480_484_15_17),2.712032
(480_484_17_19),4.000000
(480_484_20_22),4.000000
(480_484_23_25),4.000000
(481_691_22_24),7.599979
(481_691_32_34),7.261341
(481_691_33_35),8.000000
(483_480_13_15),2.712032
(484_485_17_20),2.712032
(484_627_11_13),0.000000
(484_627_13_15),4.000000
(484_627_14_16),4.000000
(484_627_17_19),1.287968
(484_627_19_21),8.000000
(484_627_22_24),7.999756
(484_627_25_27),4.000000
(484_627_5_7),0.000000
(485_485_11_12),4.000000
(485_485_12_13),4.000000
(485_485_17_18),4.000000
(485_485_18_19),4.000000
(485_485_21_22),1.751386
(485_485_33_34),4.000000
(485_489_13_15),4.000000
(485_489_20_22),2.712032
(485_626_10_12),0.000000
(485_626_13_15),7.999127
(485_626_18_20),4.000000
(485_626_19_21),4.000000
(485_626_20_22),0.000000
(485_626_22_24),1.751386
(485_626_23_25),2.384646
(485_626_27_29),2.840307
(485_626_29_31),0.000000
(485_626_30_32),3.612373
(485_626_34_36),12.000000
(486_627_10_12),4.000000
(486_691_4_5),15.998971
(487_488_11_13),4.000000
(487_488_15_17),4.000000
(487_488_34_36),4.000000
(487_535_15_18),4.000000
(487_535_18_21),4.000000
(487_535_19_22),8.000000
(487_535_29_32),7.599979
(487_535_30_33),8.000000
(487_535_36_39),3.599979
(487_535_38_41),4.000000
(487_535_39_42),3.267616
(487_535_40_43),8.000000
(487_681_17_19),0.000000
(487_681_23_25),7.997792
(488_487_13_15),8.000000
(488_487_15_17),0.000000
(488_487_16_18),4.000000
(488_487_17_19),8.000000
(488_487_21_23),7.997792
(488_487_28_30),8.000000
(488_487_32_34),4.000000
(488_487_36_38),4.000000
(488_682_6_7),11.994694
(489_490_13_14),3.198983
(489_490_15_16),4.000000
(489_490_17_18),0.000000
(489_490_19_20),4.000000
(489_490_20_21),0.000000
(489_490_22_23),2.712032
(489_490_24_25),0.000000
(489_490_27_28),4.000000
(489_490_33_34),2.990241
(489_490_35_36),6.745045
(49_595_8_9),4.000000
(490_490_19_20),0.000000
(490_490_25_26),1.615354
(490_490_28_29),1.139401
(490_490_37_38),8.000000
(490_491_14_16),4.000000
(490_491_16_18),4.000000
(490_491_2_4),4.000000
(490_491_20_22),4.000000
(490_491_24_26),4.000000
(490_491_26_28),1.615354
(490_491_31_33),4.000000
(490_491_33_35),4.000000
(490_491_34_36),4.000000
(490_557_10_12),0.000000
(490_557_13_15),0.801017
(490_557_14_16),3.198983
(490_557_15_17),0.000000
(490_557_17_19),0.000000
(490_557_18_20),0.000000
(490_557_20_22),0.000000
(490_557_21_23),0.000000
(490_557_22_24),10.658007
(490_557_23_25),5.360666
(490_557_24_26),9.041114
(490_557_25_27),0.000000
(490_557_27_29),8.000000
(490_557_28_30),6.147837
(490_557_29_31),2.991565
(490_557_3_5),3.871826
(490_557_30_32),2.849838
(490_557_34_36),10.990241
(490_557_35_37),6.174144
(490_557_36_38),6.741540
(490_557_38_40),11.999872
(490_557_41_43),8.000000
(491_490_22_24),4.000000
(491_492_26_29),4.000000
(491_558_10_12),3.999954
(491_558_16_18),4.000000
(491_558_18_20),4.000000
(491_558_2_4),5.114215
(491_558_21_23),8.000000
(491_558_24_26),1.340045
(491_558_27_29),11.917551
(491_558_28_30),1.615354
(491_558_33_35),4.000000
(491_558_35_37),4.000000
(491_558_36_38),4.000000
(491_558_4_6),4.000000
(491_559_3_4),4.642134
(491_559_5_6),3.998832
(492_492_3_4),3.139515
(492_492_34_35),4.000000
(492_493_14_15),4.000000
(492_493_29_30),4.000000
(492_493_35_36),4.000000
(492_493_4_5),3.139515
(492_561_10_12),4.510145
(492_561_11_13),2.987472
(492_561_14_16),2.073581
(492_561_15_17),3.999856
(492_561_16_18),0.979937
(492_561_17_19),0.000000
(492_561_18_20),0.852856
(492_561_26_28),12.000000
