arc_id,agent_index
(1019_565_21_22),1779;
(101_101_10_11),270;
(101_101_11_12),270;
(101_101_15_16),1013;
(101_101_16_17),1013;
(101_101_17_18),821;1013;
(101_101_18_19),821;1013;
(101_101_19_20),821;1013;
(101_101_20_21),1013;
(101_101_21_22),1013;
(101_101_22_23),1013;
(101_101_23_24),1013;
(101_101_25_26),1214;
(101_101_26_27),1214;
(101_101_27_28),1214;
(101_101_28_29),1214;
(101_101_29_30),1214;
(101_101_37_38),1724;
(101_101_38_39),1724;
(101_101_39_40),1724;
(101_101_40_41),1724;
(101_101_41_42),1724;
(101_101_42_43),1724;
(101_101_43_44),1724;
(101_101_44_45),1724;
(101_101_45_46),1724;
(101_101_7_8),105;
(101_101_9_10),270;
(101_647_12_13),270;352;
(101_647_16_17),596;
(101_647_20_21),821;
(101_647_24_25),1013;
(101_647_30_31),1214;1236;
(101_647_46_47),1724;1770;
(101_647_8_9),105;217;
(1020_566_0_1),19;260;494;722;941;
(1020_566_1_2),141;382;616;838;
(1020_566_20_21),1137;1347;1471;1605;1724;
(1020_566_21_22),1558;
(1021_567_0_1),20;261;495;723;942;
(1021_567_1_2),142;383;617;839;1051;
(1021_567_20_21),1138;1472;1606;1725;
(1021_567_21_22),1780;
(1022_568_0_1),21;262;496;724;943;
(1022_568_1_2),143;384;618;840;1052;
(1022_568_20_21),1139;1473;1607;1726;
(1022_568_21_22),1257;1686;
(1023_569_0_1),22;263;497;725;944;
(1023_569_1_2),144;385;619;841;
(1023_569_20_21),1140;1474;1608;1727;
(1023_569_21_22),1258;
(1024_570_0_1),23;264;498;726;945;
(1024_570_1_2),145;386;620;842;
(1024_570_20_21),1141;1475;1609;1728;
(1024_570_21_22),
(1025_571_0_1),24;265;499;727;946;
(1025_571_1_2),146;387;621;843;
(1025_571_20_21),1142;1476;1610;1729;
(1025_571_21_22),1259;1687;
(1026_572_0_1),25;266;500;728;947;
(1026_572_1_2),147;388;622;844;
(1026_572_20_21),1143;1477;1611;1730;
(1026_572_21_22),1688;
(1027_573_0_1),26;267;501;729;948;
(1027_573_1_2),148;389;623;845;1053;
(1027_573_20_21),1144;1478;1612;1731;
(1027_573_21_22),1260;1689;
(1028_574_0_1),27;268;502;730;949;
(1028_574_1_2),149;390;624;846;
(1028_574_20_21),1145;1479;1613;1732;
(1028_574_21_22),1261;1690;
(1029_575_0_1),28;269;503;731;950;
(1029_575_1_2),150;391;625;847;1054;
(1029_575_20_21),1146;1480;1614;1733;
(1029_575_21_22),1262;1691;
(102_102_10_11),1020;
(102_102_11_12),332;1020;
(102_102_12_13),1020;
(102_102_13_14),1020;
(102_102_14_15),593;1020;
(102_102_15_16),593;1020;
(102_102_16_17),1020;
(102_102_17_18),823;1020;
(102_102_18_19),823;1020;
(102_102_19_20),823;1020;
(102_102_20_21),1020;
(102_102_21_22),1020;
(102_102_22_23),1020;
(102_102_23_24),1020;
(102_102_26_27),1316;
(102_102_27_28),1316;
(102_102_28_29),1316;
(102_102_29_30),1316;
(102_102_40_41),1784;
(102_102_41_42),1784;
(102_102_42_43),1784;
(102_102_43_44),1726;1784;
(102_102_44_45),1726;1784;
(102_102_45_46),1726;1784;
(102_102_5_6),103;1020;
(102_102_6_7),103;1020;
(102_102_7_8),103;1020;
(102_102_8_9),1020;
(102_102_9_10),1020;
(102_648_12_13),332;
(102_648_16_17),593;
(102_648_20_21),823;
(102_648_24_25),1020;
(102_648_30_31),1316;1327;
(102_648_46_47),1726;1761;1784;
(102_648_8_9),103;222;
(1030_576_0_1),29;270;504;732;951;
(1030_576_1_2),151;626;848;
(1030_576_20_21),1147;1481;1615;1734;
(1030_576_21_22),1263;
(1031_577_0_1),30;271;505;733;952;
(1031_577_1_2),152;627;849;1055;
(1031_577_20_21),1148;1616;1735;
(1031_577_21_22),1264;
(1032_578_0_1),31;272;506;734;953;
(1032_578_1_2),153;392;628;850;1056;
(1032_578_20_21),1149;1482;1617;1736;
(1032_578_21_22),1265;1692;
(1032_578_32_33),1225;
(1033_579_0_1),32;273;507;735;954;
(1033_579_1_2),154;393;629;851;1057;
(1033_579_20_21),1150;1618;1737;
(1033_579_21_22),1266;1693;1781;
(1034_580_0_1),33;274;508;736;955;
(1034_580_1_2),155;394;630;852;
(1034_580_20_21),1151;1619;1738;
(1034_580_21_22),1267;
(1035_581_0_1),34;275;509;737;956;
(1035_581_1_2),156;395;631;853;1058;
(1035_581_20_21),1152;1620;1739;
(1035_581_21_22),1268;1694;
(1036_582_0_1),35;276;510;738;957;
(1036_582_1_2),157;396;632;854;1059;
(1036_582_20_21),1153;1621;1740;
(1036_582_21_22),1269;1782;
(1037_583_0_1),36;277;511;739;958;
(1037_583_1_2),158;397;633;855;1060;
(1037_583_20_21),1154;1348;1483;1622;1741;
(1037_583_21_22),1270;1409;1559;
(1038_584_0_1),37;278;512;740;959;
(1038_584_1_2),159;398;634;856;1061;
(1038_584_20_21),1155;1349;1484;1623;
(1038_584_21_22),1410;1560;1695;
(1038_584_36_37),1435;
(1039_585_0_1),38;279;513;741;960;
(1039_585_1_2),160;399;635;857;1062;
(1039_585_20_21),1156;1350;1485;1624;
(1039_585_21_22),1271;1411;1561;1696;
(103_103_10_11),347;
(103_103_11_12),347;
(103_103_12_13),899;
(103_103_13_14),899;
(103_103_14_15),679;899;
(103_103_15_16),679;899;
(103_103_16_17),899;
(103_103_17_18),899;
(103_103_18_19),899;
(103_103_19_20),899;
(103_103_22_23),1032;
(103_103_23_24),1032;
(103_103_29_30),1324;
(103_103_36_37),1736;
(103_103_37_38),1736;
(103_103_38_39),1736;
(103_103_39_40),1736;
(103_103_40_41),1736;
(103_103_41_42),1736;
(103_103_42_43),1736;
(103_103_43_44),1736;
(103_103_44_45),1736;
(103_103_45_46),1736;
(103_103_6_7),214;
(103_103_7_8),214;
(103_103_8_9),347;
(103_103_9_10),347;
(103_649_12_13),347;
(103_649_16_17),679;
(103_649_20_21),899;
(103_649_24_25),1032;
(103_649_30_31),1324;
(103_649_46_47),1736;
(103_649_8_9),214;
(1040_586_0_1),39;280;514;742;961;
(1040_586_1_2),161;400;636;858;1063;
(1040_586_20_21),1157;1351;1486;1625;
(1040_586_21_22),1412;1562;1697;
(1041_587_0_1),40;281;515;743;962;
(1041_587_1_2),162;401;637;859;1064;
(1041_587_20_21),1158;1352;1487;1626;
(1041_587_21_22),1272;1413;1698;
(1042_588_0_1),41;282;516;744;963;
(1042_588_1_2),163;402;638;860;1065;
(1042_588_20_21),1159;1353;1488;1627;
(1042_588_21_22),1414;1699;
(1043_589_0_1),42;283;517;745;964;
(1043_589_1_2),164;403;639;861;1066;
(1043_589_20_21),1160;1354;1489;1628;
(1043_589_21_22),1273;1415;1563;
(1044_590_0_1),43;284;518;746;965;
(1044_590_1_2),165;404;640;862;1067;
(1044_590_20_21),1161;1355;1490;1629;1700;
(1044_590_21_22),1274;1416;1564;
(1045_591_0_1),44;285;519;747;966;
(1045_591_1_2),166;405;863;1068;
(1045_591_20_21),1162;1356;1491;1630;1742;
(1045_591_21_22),1275;1417;
(1046_592_0_1),45;286;520;748;967;
(1046_592_1_2),167;406;864;1069;
(1046_592_20_21),1163;1357;1492;1631;
(1046_592_21_22),1276;1418;1701;
(1047_593_0_1),46;287;521;749;968;
(1047_593_1_2),168;407;641;865;1070;
(1047_593_20_21),1164;1358;1493;1632;1743;
(1047_593_21_22),1277;1419;1565;
(1048_594_0_1),47;288;522;750;969;
(1048_594_1_2),169;408;866;1071;
(1048_594_20_21),1165;1359;1494;1633;
(1048_594_21_22),1278;1420;1566;
(1049_595_0_1),48;289;523;751;970;
(1049_595_1_2),170;409;1072;
(1049_595_20_21),1166;1360;1495;1634;1744;
(1049_595_21_22),1279;1421;1567;1702;
(104_104_10_11),345;687;903;
(104_104_11_12),345;687;903;1036;
(104_104_12_13),687;903;1036;
(104_104_13_14),687;903;1036;
(104_104_14_15),687;903;1036;
(104_104_15_16),687;903;1036;
(104_104_16_17),903;1036;
(104_104_17_18),903;1036;
(104_104_18_19),903;1036;
(104_104_19_20),903;1036;
(104_104_20_21),1036;
(104_104_21_22),1036;
(104_104_22_23),1036;
(104_104_23_24),1036;
(104_104_28_29),1232;
(104_104_29_30),1232;
(104_104_36_37),1737;
(104_104_37_38),1737;
(104_104_38_39),1737;
(104_104_39_40),1737;
(104_104_3_4),903;
(104_104_40_41),1737;
(104_104_41_42),1737;
(104_104_42_43),1737;
(104_104_43_44),1737;
(104_104_44_45),1737;
(104_104_45_46),1737;
(104_104_4_5),903;
(104_104_5_6),345;903;
(104_104_6_7),227;345;903;
(104_104_7_8),227;345;903;
(104_104_8_9),345;903;
(104_104_9_10),345;687;903;
(104_650_12_13),345;
(104_650_16_17),687;
(104_650_20_21),903;
(104_650_24_25),1036;
(104_650_30_31),1232;
(104_650_46_47),1737;
(104_650_8_9),116;227;
(1050_596_0_1),49;290;524;752;971;
(1050_596_1_2),171;410;867;1073;
(1050_596_20_21),1167;1361;1496;1635;1745;
(1050_596_21_22),1280;1422;1568;
(1051_597_0_1),50;291;525;753;972;
(1051_597_1_2),172;411;642;868;1074;
(1051_597_20_21),1168;1362;1497;1636;
(1051_597_21_22),1281;1423;1569;
(1052_598_0_1),51;292;526;754;973;
(1052_598_1_2),173;412;643;
(1052_598_20_21),1169;1363;1498;1637;1746;
(1052_598_21_22),1282;1424;1570;
(1053_599_0_1),52;293;527;755;974;
(1053_599_1_2),174;413;869;1075;
(1053_599_20_21),1170;1364;1499;1638;
(1053_599_21_22),1283;1425;1571;
(1054_600_0_1),53;294;528;756;975;
(1054_600_1_2),175;414;644;870;1076;
(1054_600_20_21),1171;1365;1500;1639;
(1054_600_21_22),1426;
(1055_601_0_1),54;295;529;757;976;
(1055_601_1_2),176;415;645;871;1077;
(1055_601_20_21),1366;1501;1640;
(1055_601_21_22),1427;1572;
(1056_602_0_1),55;177;296;530;758;977;
(1056_602_1_2),416;646;872;1078;
(1056_602_20_21),1172;1367;1502;1641;
(1056_602_21_22),1428;
(1057_603_0_1),56;297;531;759;978;
(1057_603_1_2),178;417;647;873;1079;
(1057_603_20_21),1368;1503;1642;
(1057_603_21_22),1429;
(1058_604_0_1),57;298;532;760;979;
(1058_604_1_2),179;418;648;874;1080;
(1058_604_20_21),1173;1369;1504;1643;
(1058_604_21_22),1284;1430;
(1059_605_0_1),58;299;533;761;980;
(1059_605_1_2),180;419;649;875;1081;
(1059_605_20_21),1174;1370;1505;1644;
(1059_605_21_22),1431;1573;
(1059_605_40_41),1513;
(105_105_15_16),696;1100;
(105_105_16_17),1100;
(105_105_17_18),1100;
(105_105_18_19),1100;
(105_105_19_20),1100;
(105_105_20_21),1100;
(105_105_21_22),1100;
(105_105_22_23),1100;
(105_105_23_24),1100;
(105_105_6_7),221;
(105_105_7_8),221;
(105_651_12_13),450;
(105_651_16_17),696;
(105_651_24_25),1100;
(105_651_8_9),221;
(1060_606_0_1),59;300;534;762;981;
(1060_606_1_2),181;420;650;876;1082;
(1060_606_20_21),1175;1371;1506;1645;1747;
(1060_606_21_22),1285;1432;
(1061_607_0_1),60;301;535;763;982;
(1061_607_1_2),182;421;651;877;1083;
(1061_607_20_21),1176;1372;1507;1646;
(1061_607_21_22),1286;1433;
(1061_607_40_41),1575;
(1062_608_0_1),61;302;536;764;983;
(1062_608_1_2),183;422;652;1084;
(1062_608_20_21),1177;1373;1508;1647;
(1062_608_21_22),1287;1434;
(1062_608_36_37),1443;
(1063_609_0_1),62;303;537;765;984;
(1063_609_1_2),184;423;878;1085;
(1063_609_20_21),1178;1374;1509;1648;
(1063_609_21_22),1288;1435;
(1064_610_0_1),63;304;538;766;985;
(1064_610_1_2),185;424;1086;
(1064_610_20_21),1179;1375;1510;1649;1748;
(1064_610_21_22),1289;1436;
(1065_611_0_1),64;305;539;767;986;
(1065_611_1_2),186;425;653;879;1087;
(1065_611_20_21),1180;1376;1511;1650;
(1065_611_21_22),1290;1437;
(1065_611_40_41),1524;
(1066_612_0_1),65;306;540;768;987;
(1066_612_1_2),187;426;654;
(1066_612_20_21),1181;1377;1512;1651;1749;
(1066_612_21_22),1291;1438;
(1066_612_22_23),877;
(1067_613_0_1),66;188;307;541;769;988;
(1067_613_1_2),427;880;
(1067_613_20_21),1182;1378;1513;1652;1750;
(1067_613_21_22),1292;1439;
(1068_614_0_1),67;308;542;770;989;
(1068_614_1_2),189;428;
(1068_614_20_21),1183;1379;1514;1653;1751;
(1068_614_21_22),1293;1440;1574;
(1069_615_0_1),68;190;309;543;771;990;
(1069_615_1_2),429;1088;
(1069_615_20_21),1184;1380;1515;1654;1752;
(1069_615_21_22),1294;1441;1575;
(106_106_10_11),335;1016;
(106_106_11_12),335;1016;
(106_106_12_13),1016;
(106_106_13_14),1016;
(106_106_14_15),1016;
(106_106_15_16),1016;
(106_106_16_17),1016;
(106_106_17_18),1016;
(106_106_18_19),1016;
(106_106_19_20),1016;
(106_106_20_21),1016;
(106_106_21_22),1016;
(106_106_22_23),1016;
(106_106_23_24),1016;
(106_106_28_29),1329;
(106_106_29_30),1329;
(106_106_42_43),1715;
(106_106_43_44),1715;
(106_106_44_45),1715;
(106_106_45_46),1715;
(106_106_4_5),1016;
(106_106_5_6),106;1016;
(106_106_6_7),106;1016;
(106_106_7_8),106;1016;
(106_106_8_9),1016;
(106_106_9_10),1016;
(106_652_12_13),335;451;
(106_652_16_17),620;
(106_652_20_21),837;
(106_652_24_25),1016;
(106_652_30_31),1219;1329;
(106_652_46_47),1715;1740;1776;
(106_652_8_9),106;219;
(1070_616_0_1),69;310;544;772;991;
(1070_616_1_2),191;430;655;
(1070_616_20_21),1185;1381;1516;1655;1753;
(1070_616_21_22),1295;1442;1576;
(1071_617_0_1),70;311;545;773;992;
(1071_617_1_2),192;431;1089;
(1071_617_20_21),1186;1382;1517;1656;1754;
(1071_617_21_22),1296;1443;
(1072_618_0_1),71;312;546;774;993;
(1072_618_1_2),193;432;1090;
(1072_618_20_21),1187;1383;1444;1518;1657;1755;
(1072_618_21_22),1297;
(1073_619_0_1),72;313;547;775;994;
(1073_619_1_2),194;433;1091;
(1073_619_20_21),1188;1384;1519;1658;1756;
(1073_619_21_22),1298;1445;1577;
(1074_620_0_1),73;314;548;776;995;
(1074_620_1_2),195;434;656;881;1092;
(1074_620_20_21),1189;1385;1520;1659;1757;
(1074_620_21_22),1299;1446;
(1075_621_0_1),74;315;549;777;996;
(1075_621_1_2),196;435;657;882;1093;
(1075_621_20_21),1190;1386;1521;1660;1758;
(1075_621_21_22),1300;
(1076_622_0_1),75;316;550;778;997;
(1076_622_1_2),197;436;
(1076_622_20_21),1191;1387;1522;1759;
(1076_622_21_22),1301;1447;
(1077_623_0_1),76;317;551;779;998;
(1077_623_1_2),198;437;658;
(1077_623_20_21),1192;1302;1388;1523;1760;
(1077_623_21_22),1448;1578;
(1078_624_0_1),77;318;552;780;999;
(1078_624_1_2),199;438;659;
(1078_624_20_21),1193;1389;1524;1761;
(1078_624_21_22),1303;1449;1579;
(1078_624_22_23),893;
(1079_625_0_1),78;319;553;781;1000;
(1079_625_1_2),439;1094;
(1079_625_20_21),1194;1390;1525;1762;
(1079_625_21_22),1304;1450;
(107_107_10_11),1012;
(107_107_11_12),331;1012;
(107_107_12_13),1012;
(107_107_13_14),629;1012;
(107_107_14_15),629;820;1012;
(107_107_15_16),629;820;1012;
(107_107_16_17),820;1012;
(107_107_17_18),820;1012;
(107_107_18_19),820;1012;
(107_107_19_20),820;1012;
(107_107_20_21),1012;
(107_107_21_22),1012;
(107_107_22_23),1012;
(107_107_23_24),1012;
(107_107_25_26),1217;
(107_107_26_27),1217;
(107_107_27_28),1217;
(107_107_28_29),1217;
(107_107_29_30),1217;
(107_107_39_40),1732;
(107_107_40_41),1732;
(107_107_41_42),1732;
(107_107_42_43),1732;1763;
(107_107_43_44),1732;1763;
(107_107_44_45),1732;1763;
(107_107_45_46),1732;1763;
(107_107_5_6),101;
(107_107_6_7),101;
(107_107_7_8),101;
(107_107_8_9),1012;
(107_107_9_10),1012;
(107_653_12_13),331;459;
(107_653_16_17),629;
(107_653_20_21),820;
(107_653_24_25),1012;
(107_653_29_46),1787;
(107_653_30_31),1217;
(107_653_46_47),1713;1732;1763;1779;
(107_653_8_9),101;224;
(1080_626_0_1),79;320;554;782;1001;
(1080_626_1_2),200;440;660;
(1080_626_20_21),1195;1391;1526;1763;
(1080_626_21_22),1305;1580;
(1081_627_0_1),80;321;555;783;1002;
(1081_627_1_2),201;441;661;883;
(1081_627_20_21),1196;1392;1527;1764;
(1081_627_21_22),1306;1451;1581;
(1081_627_44_45),1607;
(1082_628_0_1),81;322;556;784;1003;
(1082_628_1_2),202;442;662;884;
(1082_628_20_21),1197;1393;1528;
(1082_628_21_22),1582;
(1082_628_44_45),1649;
(1083_629_0_1),82;323;557;785;1004;
(1083_629_1_2),203;443;663;885;
(1083_629_20_21),1198;1394;1529;1661;
(1083_629_21_22),1307;1583;
(1083_629_32_33),1310;
(1084_630_0_1),83;324;558;786;1005;
(1084_630_1_2),444;664;886;
(1084_630_20_21),1199;1395;1530;
(1084_630_21_22),1308;1584;
(1085_631_0_1),84;325;559;787;
(1085_631_1_2),665;887;
(1085_631_20_21),1200;1396;1531;
(1085_631_21_22),
(1086_632_0_1),85;326;560;788;
(1086_632_1_2),204;445;666;888;
(1086_632_20_21),1201;1532;
(1086_632_21_22),1309;
(1086_632_26_27),1058;
(1087_633_0_1),86;327;561;789;1006;
(1087_633_1_2),205;446;667;1095;
(1087_633_20_21),1202;1397;1533;
(1087_633_21_22),1310;1585;
(1088_634_0_1),87;328;562;790;1007;
(1088_634_1_2),206;668;889;
(1088_634_20_21),1203;1534;
(1088_634_21_22),1311;1783;
(1089_635_0_1),88;329;563;791;1008;
(1089_635_1_2),207;447;669;890;
(1089_635_20_21),1204;1535;
(1089_635_21_22),1312;
(108_108_10_11),339;
(108_108_11_12),339;695;
(108_108_12_13),695;
(108_108_13_14),695;
(108_108_14_15),695;1039;
(108_108_15_16),695;1039;
(108_108_16_17),1039;
(108_108_17_18),845;1039;
(108_108_18_19),845;1039;
(108_108_19_20),845;1039;
(108_108_20_21),1039;
(108_108_21_22),1039;
(108_108_22_23),1039;
(108_108_23_24),1039;
(108_108_25_26),1224;
(108_108_26_27),1224;
(108_108_27_28),1224;
(108_108_28_29),1224;
(108_108_29_30),1224;
(108_108_33_34),1738;
(108_108_34_35),1738;
(108_108_35_36),1738;
(108_108_36_37),1738;
(108_108_37_38),1738;
(108_108_38_39),1738;
(108_108_39_40),1738;
(108_108_40_41),1738;
(108_108_41_42),1738;
(108_108_42_43),1738;
(108_108_43_44),1738;
(108_108_44_45),1738;
(108_108_45_46),1738;
(108_108_6_7),231;
(108_108_7_8),231;339;
(108_108_8_9),339;
(108_108_9_10),339;
(108_654_12_13),339;462;
(108_654_16_17),695;
(108_654_20_21),845;
(108_654_24_25),1039;
(108_654_30_31),1224;
(108_654_46_47),1738;1780;
(108_654_8_9),111;231;
(1090_636_0_1),89;330;564;792;
(1090_636_1_2),208;670;
(1090_636_20_21),1205;1536;
(1090_636_21_22),1784;
(1091_637_0_1),90;331;565;793;
(1091_637_1_2),209;671;891;1096;
(1091_637_20_21),1206;1537;1662;
(1091_637_21_22),1703;
(1091_637_48_49),1757;
(1092_638_0_1),91;332;566;794;1009;
(1092_638_1_2),210;448;672;892;1097;
(1092_638_20_21),1207;1538;1663;1765;
(1092_638_21_22),1313;
(1093_639_0_1),92;333;567;795;1010;
(1093_639_1_2),211;449;673;893;
(1093_639_20_21),1208;1539;
(1093_639_21_22),1314;1704;
(1094_640_0_1),93;334;568;796;1011;
(1094_640_1_2),212;450;674;894;
(1094_640_20_21),1209;1540;1664;
(1094_640_21_22),1315;
(1095_641_0_1),94;335;569;797;1012;
(1095_641_1_2),213;451;675;895;1098;
(1095_641_20_21),1210;1541;1665;
(1095_641_21_22),1316;
(1096_642_0_1),95;336;570;798;1013;
(1096_642_1_2),214;452;676;896;
(1096_642_20_21),1211;1666;
(1096_642_21_22),1317;
(1097_643_0_1),96;337;571;799;1014;
(1097_643_1_2),215;677;897;
(1097_643_20_21),1212;
(1097_643_21_22),
(1098_644_0_1),97;338;572;800;1015;
(1098_644_1_2),216;678;
(1098_644_20_21),1213;
(1098_644_21_22),1318;
(1098_644_48_49),1749;
(1099_645_0_1),98;339;573;801;1016;
(1099_645_1_2),217;679;898;1099;
(1099_645_20_21),1214;1667;
(1099_645_21_22),1319;
(1099_645_48_49),1764;
(109_109_10_11),340;686;1033;
(109_109_11_12),340;686;1033;
(109_109_12_13),686;1033;
(109_109_13_14),686;1033;
(109_109_14_15),686;1033;
(109_109_15_16),686;1033;
(109_109_16_17),1033;
(109_109_17_18),1033;
(109_109_18_19),844;1033;
(109_109_19_20),844;1033;
(109_109_20_21),1033;
(109_109_21_22),1033;
(109_109_22_23),1033;
(109_109_23_24),1033;
(109_109_28_29),1220;
(109_109_29_30),1220;
(109_109_2_3),108;
(109_109_35_36),1734;
(109_109_36_37),1734;
(109_109_37_38),1734;
(109_109_38_39),1734;
(109_109_39_40),1734;
(109_109_3_4),108;
(109_109_40_41),1734;
(109_109_41_42),1734;
(109_109_42_43),1734;
(109_109_43_44),1734;
(109_109_44_45),1734;
(109_109_45_46),1734;
(109_109_4_5),108;
(109_109_5_6),108;
(109_109_6_7),108;
(109_109_7_8),108;
(109_109_8_9),340;686;1033;
(109_109_9_10),340;686;1033;
(109_655_12_13),340;
(109_655_16_17),686;
(109_655_20_21),844;
(109_655_24_25),1033;
(109_655_30_31),1220;1234;
(109_655_46_47),1734;1777;
(109_655_8_9),108;225;
(10_10_10_11),703;1042;
(10_10_11_12),306;703;1042;
(10_10_12_13),703;834;1042;
(10_10_13_14),703;834;1042;
(10_10_14_15),496;703;834;1042;
(10_10_15_16),496;703;834;1042;
(10_10_16_17),703;834;1042;
(10_10_17_18),703;834;1042;
(10_10_18_19),703;834;1042;
(10_10_19_20),703;745;834;1042;
(10_10_20_21),1042;
(10_10_21_22),1042;
(10_10_22_23),1042;
(10_10_23_24),1042;
(10_10_26_27),1593;
(10_10_27_28),1593;
(10_10_28_29),1593;
(10_10_29_30),1183;1593;
(10_10_30_31),1593;
(10_10_31_32),1593;
(10_10_32_33),1593;
(10_10_33_34),1593;
(10_10_34_35),1593;
(10_10_35_36),1593;
(10_10_36_37),1479;1593;
(10_10_37_38),1479;1593;
(10_10_38_39),1593;
(10_10_39_40),1593;
(10_10_40_41),1593;
(10_10_41_42),1593;
(10_10_6_7),5;
(10_10_7_8),5;125;
(10_10_9_10),703;
(10_556_10_20),886;
(10_556_12_13),306;397;
(10_556_16_17),496;609;
(10_556_20_21),703;708;745;785;834;889;
(10_556_24_25),963;1042;
(10_556_30_31),1183;1293;
(10_556_38_39),1479;1480;
(10_556_42_43),1593;1629;
(10_556_6_20),833;
(10_556_8_9),1;5;75;125;199;
(1100_646_0_1),99;340;574;802;1017;
(1100_646_10_11),216;
(1100_646_1_2),218;453;680;899;1100;
(1100_646_20_21),1215;1668;
(1100_646_21_22),1320;
(1101_647_0_1),100;341;575;803;1018;
(1101_647_1_2),219;454;681;900;
(1101_647_20_21),1216;1669;
(1101_647_21_22),1321;
(1102_648_0_1),101;220;342;576;804;1019;
