agent_id,column_cost,served_pax_group,Path_node_sequence,path_time_sequence
54,35,61;,1054;600;602;607;61;607;606;403;611;610;615;622;623;624;556;1010;,0;1;4;7;8;9;12;13;15;18;21;24;27;30;34;35;
55,36,56;,1055;601;600;602;56;602;607;606;403;404;405;488;487;681;623;624;556;1010;,0;1;4;7;8;9;12;15;16;19;20;21;23;25;28;31;35;36;
56,30,60;,1056;602;607;606;60;606;403;404;405;488;487;681;623;624;556;1010;,0;1;4;7;8;9;10;13;14;15;17;19;22;25;29;30;
57,37,125;,1057;603;602;671;125;671;671;671;676;675;404;680;679;681;623;624;556;1010;,0;1;4;7;8;9;10;11;14;17;19;21;23;26;29;32;36;37;
58,25,62;,1058;604;399;609;608;62;608;613;440;439;438;437;556;1010;,0;1;3;4;7;8;9;12;13;15;17;21;24;25;
59,31,63;,1059;605;604;399;609;63;609;611;680;679;681;623;624;556;1010;,0;1;4;6;7;8;9;12;15;17;20;23;26;30;31;
60,26,64;,1060;606;403;611;610;64;610;615;439;439;614;622;555;556;1010;,0;1;2;4;7;8;9;12;13;14;16;19;22;25;26;
61,27,65;,1061;607;606;403;611;65;611;610;615;439;439;438;437;556;1010;,0;1;4;5;7;8;9;12;15;16;17;19;23;26;27;
62,32,41;,1062;608;592;587;41;587;400;609;611;610;615;622;555;556;1010;,0;1;4;7;8;9;10;13;16;19;22;25;28;31;32;
63,28,134;,1063;609;611;680;134;680;611;610;615;622;555;556;1010;,0;1;4;7;8;9;12;15;18;21;24;27;28;
64,20,135;,1064;610;679;681;135;681;623;624;556;1010;,0;1;4;7;8;9;12;15;19;20;
65,33,136;,1065;611;680;488;682;136;682;487;488;487;535;438;437;556;1010;,0;1;4;6;7;8;9;11;13;15;18;25;29;32;33;
66,15,8;,1066;612;614;554;8;8;554;554;437;556;1010;,0;1;3;6;7;8;9;10;11;14;15;
67,18,76;,1067;613;613;615;622;76;622;554;437;556;1010;,0;1;2;4;7;8;9;13;14;17;18;
68,13,9;,1068;614;622;555;9;555;556;1010;,0;1;4;7;8;9;12;13;
69,14,79;,1069;615;622;625;79;625;555;556;1010;,0;1;4;7;8;9;10;13;14;
70,15,6;,1070;616;616;618;552;6;552;552;553;496;556;1010;,0;1;2;4;7;8;9;10;12;13;14;15;
71,21,73;,1071;617;619;73;73;73;73;73;619;619;552;553;560;556;1010;,0;1;3;4;5;6;7;8;9;10;13;15;17;20;21;
72,16,3;,1072;618;548;547;549;3;3;549;550;553;496;556;1010;,0;1;3;4;6;7;8;9;11;13;14;15;16;
73,12,7;,1073;619;619;552;553;7;553;496;556;1010;,0;1;2;5;7;8;9;10;11;12;
74,22,1;,1074;620;621;547;1;1;1;1;547;548;552;435;554;625;555;556;1010;,0;1;2;4;5;6;7;8;9;10;12;13;15;17;18;21;22;
75,23,75;,1075;621;75;75;75;75;75;75;75;621;618;548;550;560;556;1010;,0;1;2;3;4;5;6;7;8;9;11;13;16;19;22;23;
76,10,10;,1076;622;555;556;10;556;1010;,0;1;4;7;8;9;10;
77,14,78;,1077;623;623;623;623;624;78;624;556;1010;,0;1;2;3;4;7;8;9;13;14;
78,17,80;,1078;624;626;80;80;80;80;626;630;557;556;1010;,0;1;4;5;6;7;8;9;11;13;16;17;
79,18,77;,1079;625;622;623;77;623;624;555;556;1010;,0;1;4;7;8;9;12;14;17;18;
80,13,11;,1080;626;630;557;11;11;11;557;556;1010;,0;1;3;5;6;7;8;9;12;13;
81,38,81;,1081;627;81;81;81;81;81;81;81;627;623;622;614;439;438;437;556;624;556;1010;,0;1;2;3;4;5;6;7;8;9;12;15;18;20;22;26;29;33;37;38;
82,24,83;,1082;628;629;83;83;83;83;629;484;627;623;624;556;1010;,0;1;4;5;6;7;8;9;11;13;16;19;23;24;
83,29,86;,1083;629;628;632;86;632;636;631;490;557;556;496;556;555;556;1010;,0;1;4;7;8;9;12;14;15;17;20;21;22;25;28;29;
84,14,14;,1084;630;557;558;560;14;560;560;556;1010;,0;1;3;5;7;8;9;10;13;14;
85,16,12;,1085;631;490;491;558;12;12;558;558;560;556;1010;,0;1;2;4;6;7;8;9;10;12;15;16;
86,34,87;,1086;632;633;87;87;87;87;633;629;484;627;623;622;540;438;437;556;1010;,0;1;4;5;6;7;8;9;12;14;16;19;22;24;26;30;33;34;
87,39,147;,1087;633;478;703;693;147;693;479;480;484;627;623;622;554;437;437;556;624;556;1010;,0;1;3;4;7;8;9;10;11;13;15;18;21;25;26;27;30;34;38;39;
88,30,88;,1088;634;88;88;88;88;88;88;88;634;502;632;628;485;485;485;626;624;555;556;1010;,0;1;2;3;4;5;6;7;8;9;11;13;16;17;18;19;21;24;26;29;30;
89,35,157;,1089;635;504;477;478;703;157;157;703;693;483;480;484;485;489;490;557;556;437;556;1010;,0;1;2;3;5;6;7;8;9;12;13;15;17;20;22;23;25;28;31;34;35;
90,19,85;,1090;636;631;85;85;85;85;85;631;559;557;556;1010;,0;1;3;4;5;6;7;8;9;12;15;18;19;
91,40,30;,1091;637;576;30;30;30;30;576;572;571;631;489;490;557;624;556;624;556;1010;,0;1;4;5;6;7;8;9;11;14;18;20;21;23;27;31;35;39;40;
92,36,159;,1092;638;707;476;705;159;705;703;478;479;480;484;627;623;622;554;437;556;1010;,0;1;4;5;7;8;9;12;13;16;17;19;21;24;27;31;32;35;36;
93,26,98;,1093;639;506;644;98;98;98;98;644;637;571;501;636;631;490;490;557;556;1010;,0;1;2;4;5;6;7;8;9;12;14;15;16;18;19;20;22;25;26;
94,31,89;,1094;640;635;89;89;89;89;635;634;502;632;628;485;626;624;555;556;1010;,0;1;4;5;6;7;8;9;12;14;16;19;20;22;25;27;30;31;
95,41,93;,1095;641;639;93;93;93;93;639;505;505;634;502;632;628;485;485;626;624;555;556;624;556;1010;,0;1;4;5;6;7;8;9;10;11;13;15;17;20;21;22;24;27;29;32;36;40;41;
96,32,100;,1096;642;641;646;100;646;646;644;637;571;631;559;557;556;1010;,0;1;4;7;8;9;10;13;16;18;22;25;28;31;32;
97,37,97;,1097;643;97;97;97;97;97;97;97;643;576;572;569;499;498;497;493;494;495;496;436;436;437;556;1010;,0;1;2;3;4;5;6;7;8;9;11;13;17;18;19;20;21;23;26;28;29;30;33;36;37;
98,42,32;,1098;644;643;578;32;32;578;576;572;571;631;490;557;556;555;556;624;556;1010;,0;1;4;6;7;8;9;12;14;17;21;22;24;27;30;33;37;41;42;
99,33,34;,1099;645;578;580;34;580;545;577;530;529;531;532;533;498;498;497;493;562;559;557;556;1010;,0;1;4;7;8;9;10;12;13;15;16;17;18;19;20;21;22;23;26;29;32;33;
100,38,95;,1100;646;641;95;95;95;95;641;639;505;634;502;632;628;485;626;624;555;625;554;437;556;1010;,0;1;4;5;6;7;8;9;12;13;15;17;19;22;23;25;28;30;31;33;34;37;38;
101,43,99;,1101;647;645;99;99;99;99;645;578;577;530;529;531;532;533;498;497;493;562;559;557;556;624;556;1010;,0;1;4;5;6;7;8;9;12;15;16;18;19;20;21;22;23;24;25;28;31;34;38;42;43;
102,34,107;,1102;648;653;107;107;107;107;653;646;644;637;571;631;559;557;556;1010;,0;1;4;5;6;7;8;9;12;15;18;20;24;27;30;33;34;
103,39,94;,1103;649;642;640;94;640;635;504;477;478;479;480;484;627;623;622;554;437;556;1010;,0;1;4;7;8;9;12;13;14;16;19;20;22;24;27;30;34;35;38;39;
104,44,102;,1104;650;648;102;102;102;102;648;641;639;505;634;571;631;559;557;556;624;556;1010;,0;1;4;5;6;7;8;9;12;15;16;18;22;26;29;32;35;39;43;44;
105,40,96;,1105;651;649;642;96;642;640;635;504;477;478;479;480;484;627;623;622;555;556;1010;,0;1;4;7;8;9;12;15;16;17;19;22;23;25;27;30;33;36;39;40;
106,35,101;,1106;652;645;647;101;101;647;524;578;576;572;570;500;566;559;491;558;560;556;1010;,0;1;3;6;7;8;9;10;13;16;18;21;22;24;26;27;29;31;34;35;
107,45,106;,1107;653;652;106;106;106;106;652;645;578;577;530;529;531;532;533;498;497;493;562;559;557;556;624;556;1010;,0;1;4;5;6;7;8;9;11;14;17;18;20;21;22;23;24;25;26;27;30;33;36;40;44;45;
108,36,111;,1108;654;452;525;657;111;111;657;647;524;578;577;530;529;531;532;533;498;497;493;492;561;560;556;1010;,0;1;2;4;6;7;8;9;11;12;15;18;19;21;22;23;24;25;26;27;28;30;32;35;36;
109,41,109;,1109;655;109;109;109;109;109;109;109;655;653;646;644;637;571;631;490;490;557;624;555;556;1010;,0;1;2;3;4;5;6;7;8;9;12;15;18;21;23;27;28;29;31;35;37;40;41;
110,46,33;,1110;656;579;33;33;33;33;579;580;575;574;568;565;564;563;562;559;557;556;624;556;1010;,0;1;4;5;6;7;8;9;12;16;19;21;23;24;26;28;31;34;37;41;45;46;
111,37,110;,1111;657;656;110;110;110;110;656;579;580;545;577;573;569;499;498;497;493;492;561;560;556;1010;,0;1;4;5;6;7;8;9;12;15;16;18;21;24;25;26;27;28;29;31;33;36;37;
112,42,108;,1112;658;659;654;108;654;452;652;645;578;576;572;571;631;490;557;624;555;556;1010;,0;1;4;7;8;9;10;12;14;17;20;22;25;29;30;32;36;38;41;42;
113,47,113;,1113;659;113;113;113;113;113;113;113;659;657;647;524;578;576;572;570;500;500;566;559;557;556;624;556;1010;,0;1;2;3;4;5;6;7;8;9;12;14;15;18;21;23;26;27;28;30;32;35;38;42;46;47;
114,38,36;,1114;660;582;36;36;36;582;580;545;577;530;529;531;532;533;498;497;493;492;561;560;553;560;556;1010;,0;1;5;6;7;8;9;13;14;16;17;19;20;21;22;23;24;25;26;28;30;32;34;37;38;
115,43,114;,1115;661;660;114;114;114;114;660;582;581;575;528;529;531;532;569;499;567;562;563;562;559;557;556;1010;,0;1;4;5;6;7;8;9;13;17;20;21;22;23;24;25;26;28;29;31;33;36;39;42;43;
116,48,117;,1116;662;449;663;117;117;117;663;655;653;646;644;637;571;631;559;557;556;624;556;1010;,0;1;4;5;6;7;8;9;12;15;18;21;24;26;30;33;36;39;43;47;48;
117,44,104;,1117;663;655;650;104;650;648;641;639;505;634;502;632;628;485;626;624;555;625;554;437;556;1010;,0;1;4;7;8;9;12;15;18;19;21;23;25;28;29;31;34;36;37;39;40;43;44;
118,49,116;,1118;664;662;116;116;116;116;662;654;452;652;645;578;576;572;570;500;500;566;559;557;556;624;556;1010;,0;1;4;5;6;7;8;9;12;13;15;17;20;23;25;28;29;30;32;34;37;40;44;48;49;
119,45,295;,1119;665;663;841;295;841;453;650;648;641;639;505;634;502;632;628;485;485;626;624;555;556;1010;,0;1;4;7;8;9;10;13;16;19;22;23;25;27;29;32;33;34;36;39;41;44;45;
120,39,112;,1120;666;510;658;112;112;112;112;658;656;579;580;545;577;530;529;531;532;533;498;497;493;492;561;560;556;1010;,0;1;3;4;5;6;7;8;9;12;15;18;19;21;22;24;25;26;27;28;29;30;31;33;35;38;39;
121,50,121;,1121;667;121;121;121;121;121;121;121;667;509;659;657;647;524;578;576;572;570;500;500;566;559;557;556;624;556;1010;,0;1;2;3;4;5;6;7;8;9;11;12;15;17;18;21;24;26;29;30;31;33;35;38;41;45;49;50;
122,46,120;,1122;668;666;120;120;120;120;666;521;511;522;523;530;529;531;532;533;498;497;493;492;492;562;559;557;556;1010;,0;1;4;5;6;7;8;9;10;13;17;23;25;27;28;29;30;31;32;33;34;35;36;39;42;45;46;
123,24,74;,1001;547;621;620;74;74;74;620;621;618;552;435;554;625;555;556;1010;,1;2;4;5;6;7;8;9;10;12;15;16;18;20;21;24;25;
124,19,2;,1002;548;2;2;2;2;2;2;548;548;550;560;556;1010;,1;2;3;4;5;6;7;8;9;10;13;16;19;20;
125,20,17;,1003;549;551;563;17;563;562;493;494;495;496;556;1010;,1;2;5;7;8;9;11;12;14;17;19;20;21;
126,9,10;,1004;550;553;496;556;10;10;556;1010;,1;2;4;5;6;7;8;9;10;
127,21,15;,1005;551;563;494;561;15;561;558;557;624;556;1010;,1;2;4;6;7;8;9;11;13;17;21;22;
128,26,73;,1006;552;435;552;619;73;619;554;625;555;556;624;556;1010;,1;2;3;4;7;8;9;12;14;15;18;22;26;27;
129,12,7;,1007;553;7;7;7;7;7;7;553;553;496;556;1010;,1;2;3;4;5;6;7;8;9;10;11;12;13;
130,22,68;,1008;554;437;554;614;68;614;439;614;622;555;556;1010;,1;2;3;4;7;8;9;11;13;16;19;22;23;
131,17,80;,1009;555;624;626;80;626;626;630;557;556;1010;,1;2;4;7;8;9;10;12;14;17;18;
132,14,84;,1010;556;557;630;84;630;557;556;1010;,1;2;5;7;8;9;11;14;15;
133,27,13;,1011;557;557;557;559;13;559;491;558;560;495;551;550;560;556;1010;,1;2;3;4;7;8;9;10;12;14;15;18;21;24;27;28;
134,23,4;,1012;558;560;550;4;550;550;552;435;436;436;437;556;1010;,1;2;4;7;8;9;10;13;14;16;17;20;23;24;
135,28,16;,1013;559;491;559;562;16;562;563;551;550;548;550;560;556;1010;,1;2;3;4;7;8;9;11;13;16;19;22;25;28;29;
136,24,3;,1014;560;550;549;3;549;551;495;494;495;496;556;1010;,1;2;5;7;8;9;12;15;18;21;23;24;25;
137,29,5;,1015;561;494;563;551;5;551;551;563;551;550;548;550;560;556;1010;,1;2;3;5;7;8;9;10;12;14;17;20;23;26;29;30;
138,25,18;,1016;562;492;492;493;564;18;564;493;494;495;494;495;496;556;1010;,1;2;3;4;5;7;8;9;11;13;16;19;22;24;25;26;
139,30,21;,1017;563;563;563;562;567;21;567;567;562;563;551;550;548;550;560;556;1010;,1;2;3;4;6;7;8;9;10;11;13;15;18;21;24;27;30;31;
140,21,19;,1018;564;565;568;565;19;565;565;564;493;494;495;496;556;1010;,1;2;3;5;7;8;9;10;11;13;15;18;20;21;22;
141,26,22;,1019;565;564;564;565;568;22;568;533;498;498;497;493;492;561;560;553;560;556;1010;,1;2;3;4;5;7;8;9;10;11;12;13;14;15;17;19;21;23;26;27;
142,31,20;,1020;566;566;500;566;20;566;567;562;492;493;494;495;496;556;624;556;1010;,1;2;3;5;7;8;9;12;13;14;15;17;20;22;23;27;31;32;
143,27,23;,1021;567;562;567;499;569;23;569;565;564;493;564;493;494;495;496;556;1010;,1;2;3;4;6;7;8;9;12;13;15;17;19;21;24;26;27;28;
144,32,28;,1022;568;574;28;28;28;28;574;568;565;564;564;493;494;563;551;550;560;556;1010;,1;2;4;5;6;7;8;9;11;13;14;15;17;19;21;23;26;29;32;33;
145,28,24;,1023;569;499;569;570;24;570;569;565;564;564;564;493;494;495;496;556;1010;,1;2;3;4;7;8;9;12;15;16;17;18;20;22;25;27;28;29;
146,18,90;,1024;570;500;501;636;90;636;636;631;490;557;556;1010;,1;2;3;6;7;8;9;10;12;13;15;18;19;
147,33,25;,1025;571;571;637;571;25;571;501;636;631;490;491;558;560;495;551;550;560;556;1010;,1;2;3;5;7;8;9;10;11;13;14;16;18;20;21;24;27;30;33;34;
148,29,26;,1026;572;26;26;26;26;26;26;572;569;499;567;562;493;494;495;496;436;436;496;556;1010;,1;2;3;4;5;6;7;8;9;13;14;16;17;18;20;23;25;26;27;28;29;30;
149,34,27;,1027;573;27;27;27;27;27;27;573;531;531;532;533;498;499;567;562;562;559;557;624;555;556;1010;,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;17;18;19;22;25;29;31;34;35;
150,39,29;,1028;574;574;574;575;29;575;574;568;565;564;563;551;550;553;496;436;436;435;436;437;556;1010;,1;2;3;4;7;8;9;12;14;16;17;19;21;24;26;27;28;29;31;33;36;39;40;
151,30,31;,1029;575;530;577;31;31;577;573;569;565;564;564;493;494;495;496;556;1010;,1;2;5;6;7;8;9;12;15;18;19;20;22;24;27;29;30;31;
152,35,91;,1030;576;637;91;91;91;637;637;637;571;631;489;490;491;490;557;624;555;556;1010;,1;2;5;6;7;8;9;10;11;13;17;19;20;22;24;26;30;32;35;36;
153,40,30;,1031;577;530;577;576;30;576;576;572;570;500;566;559;491;558;560;553;496;496;436;435;436;437;556;1010;,1;2;3;4;7;8;9;10;12;15;16;18;20;21;23;25;27;28;29;30;32;34;37;40;41;
154,50,34;,1032;578;580;34;34;34;580;575;574;568;565;564;493;494;495;496;436;436;435;436;437;556;624;556;1010;,1;2;5;6;7;8;9;13;16;18;20;21;23;25;28;30;31;32;34;36;39;42;46;50;51;
155,31,32;,1033;579;579;578;32;578;578;576;572;570;500;566;559;491;558;560;556;1010;,1;2;3;7;8;9;10;13;15;18;19;21;23;24;26;28;31;32;
156,36,97;,1034;580;578;643;97;643;643;576;637;571;501;501;636;631;489;490;557;624;555;556;1010;,1;2;5;7;8;9;10;12;15;17;18;19;20;22;24;25;27;31;33;36;37;
157,41,35;,1035;581;581;581;581;581;581;35;581;581;581;575;574;568;565;564;563;551;550;552;435;436;437;556;1010;,1;2;3;4;5;6;7;8;9;10;11;14;17;19;21;22;24;26;29;32;33;35;38;41;42;
158,46,33;,1036;582;582;582;579;33;579;579;580;575;574;568;565;564;493;494;495;496;436;436;435;436;437;556;1010;,1;2;3;4;7;8;9;10;13;17;20;22;24;25;27;29;32;34;35;36;38;40;43;46;47;
159,19,37;,1037;583;37;37;37;37;37;37;583;540;540;622;555;556;1010;,1;2;3;4;5;6;7;8;9;10;11;13;16;19;20;
160,51,42;,1038;584;588;42;588;588;588;587;592;591;441;440;439;614;622;555;556;555;556;624;556;1010;,1;2;7;8;9;10;11;14;17;20;22;24;26;28;31;34;37;40;43;47;51;52;
161,37,39;,1039;585;39;39;39;39;39;39;585;401;400;398;399;537;610;615;622;555;624;555;556;1010;,1;2;3;4;5;6;7;8;9;10;13;15;16;20;21;24;27;30;32;34;37;38;
162,42,40;,1040;586;40;40;40;40;40;40;586;588;397;604;399;537;536;438;437;436;496;556;555;556;1010;,1;2;3;4;5;6;7;8;9;12;15;16;18;22;25;27;31;34;35;36;39;42;43;
163,32,63;,1041;587;400;609;63;63;609;399;537;536;438;439;438;437;436;496;556;1010;,1;2;3;6;7;8;9;10;14;17;19;21;23;27;30;31;32;33;
164,47,38;,1042;588;584;38;584;605;604;399;609;611;680;488;487;535;438;437;556;1010;,1;2;7;8;9;14;17;19;20;23;26;28;30;33;40;44;47;48;
165,26,48;,1043;589;594;48;48;48;594;596;612;614;554;437;436;496;556;1010;,1;2;5;6;7;8;9;12;15;17;20;21;24;25;26;27;
166,52,230;,1044;590;776;230;230;230;776;775;425;426;441;440;439;438;439;438;437;438;437;556;624;556;1010;,1;2;5;6;7;8;9;12;13;15;19;21;23;25;27;29;33;37;41;44;48;52;53;
167,24,67;,1045;591;613;67;67;67;613;615;622;623;624;556;1010;,1;2;5;6;7;8;9;11;14;17;20;24;25;
168,33,45;,1046;592;591;45;45;45;591;591;441;596;612;614;554;437;437;436;496;496;495;496;556;1010;,1;2;5;6;7;8;9;10;12;13;16;18;21;22;23;26;27;28;30;32;33;34;
169,38,51;,1047;593;431;597;51;51;51;597;431;432;433;434;435;436;437;436;496;556;556;555;556;1010;,1;2;3;5;6;7;8;9;11;14;16;18;21;23;26;29;30;31;32;35;38;39;
170,43,47;,1048;594;593;47;47;47;593;429;593;595;612;614;622;554;622;623;624;557;556;1010;,1;2;5;6;7;8;9;10;11;14;17;19;22;26;30;33;36;40;43;44;
171,22,53;,1049;595;432;599;53;53;599;599;617;619;554;437;556;1010;,1;2;4;6;7;8;9;10;13;15;18;19;22;23;
172,20,66;,1050;596;612;66;66;66;612;612;614;554;437;437;556;1010;,1;2;5;6;7;8;9;10;12;15;16;17;20;21;
173,48,232;,1051;597;778;232;232;778;778;779;425;426;441;440;439;438;535;438;437;556;1010;,1;2;6;7;8;9;10;13;15;17;21;23;25;27;34;41;45;48;49;
174,23,52;,1052;598;52;52;52;52;52;52;598;616;618;552;435;554;437;556;1010;,1;2;3;4;5;6;7;8;9;11;13;16;17;19;20;23;24;
175,53,71;,1053;599;617;71;71;71;617;617;617;619;614;439;440;439;438;535;438;437;556;624;556;1010;,1;2;5;6;7;8;9;10;11;13;16;18;20;22;24;31;38;42;45;49;53;54;
176,39,54;,1054;600;54;54;54;54;54;54;600;605;604;399;537;536;438;439;438;437;436;496;556;1010;,1;2;3;4;5;6;7;8;9;12;15;17;21;24;26;28;30;34;37;38;39;40;
177,44,57;,1055;601;603;57;57;57;603;602;607;606;403;403;611;610;615;622;623;624;557;556;1010;,1;2;5;6;7;8;9;12;15;18;19;20;22;25;28;31;34;37;41;44;45;
178,50,130;,1056;602;671;676;130;676;675;404;405;488;487;535;438;535;438;437;556;1010;,0;1;4;7;8;9;12;14;15;16;18;21;28;35;42;46;49;50;
179,54,55;,1057;603;601;55;55;55;601;394;601;600;605;604;399;537;536;438;437;436;496;556;555;556;624;556;1010;,1;2;5;6;7;8;9;10;11;14;17;20;22;26;29;31;35;38;39;40;43;46;50;54;55;
