parameter beta(v_k_i_j_t_s)
4.4.66.3.50.51 1
4.4.3.4.51.55 1
4.4.4.31.55.56 1
4.4.31.4.56.57 1
4.4.4.10.57.65 1
4.4.10.15.65.71 1
4.4.15.22.71.74 1
4.4.22.21.74.76 1
4.4.21.32.76.77 1
4.4.32.21.77.78 1
4.4.21.24.78.81 1
4.4.24.13.81.85 1
5.4.2.1.1.7 1
5.4.1.3.7.11 1
5.4.3.12.11.15 1
5.4.12.57.15.16 1
5.4.57.12.16.17 1
5.4.12.13.17.20 1
5.4.13.24.20.24 1
5.4.24.58.24.25 1
5.4.58.24.25.26 1
5.4.24.81.26.27 1
5.4.81.24.27.28 1
5.4.24.13.28.32 1
5.4.13.12.32.35 1
5.4.12.3.35.39 1
5.4.3.82.39.40 1
5.4.82.3.40.41 1
5.4.3.4.41.45 1
5.4.4.31.45.46 1
5.4.31.4.46.47 1
5.4.4.10.47.55 1
5.4.10.15.55.61 1
5.4.15.22.61.64 1
5.4.22.21.64.66 1
5.4.21.32.66.67 1
5.4.32.21.67.68 1
5.4.21.23.68.73 1
5.4.23.22.73.77 1
5.4.22.20.77.82 1
6.4.2.1.1.7 1
6.4.1.3.7.11 1
6.4.3.12.11.15 1
6.4.12.57.15.16 1
6.4.57.12.16.17 1
6.4.12.13.17.20 1
6.4.13.24.20.24 1
6.4.24.58.24.25 1
6.4.58.24.25.26 1
6.4.24.81.26.27 1
6.4.81.24.27.28 1
6.4.24.13.28.32 1
6.4.13.12.32.35 1
6.4.12.3.35.39 1
6.4.3.82.39.40 1
6.4.82.3.40.41 1
6.4.3.4.41.45 1
6.4.4.10.45.53 1
6.4.10.10.53.80 1
7.4.13.12.1.4 1
7.4.12.57.4.5 1
7.4.57.12.5.6 1
7.4.12.13.6.9 1
7.4.13.24.9.13 1
7.4.24.58.13.14 1
7.4.58.58.14.25 1
7.4.58.24.25.26 1
7.4.24.81.26.27 1
7.4.81.24.27.28 1
7.4.24.13.28.32 1
7.4.13.12.32.35 1
7.4.12.3.35.39 1
7.4.3.82.39.40 1
7.4.82.3.40.41 1
7.4.3.1.41.45 1
7.4.1.1.45.80 1
8.4.13.12.1.4 1
8.4.12.57.4.5 1
8.4.57.12.5.6 1
8.4.12.13.6.9 1
8.4.13.24.9.13 1
8.4.24.58.13.14 1
8.4.58.58.14.25 1
8.4.58.24.25.26 1
8.4.24.81.26.27 1
8.4.81.24.27.28 1
8.4.24.13.28.32 1
8.4.13.12.32.35 1
8.4.12.3.35.39 1
8.4.3.82.39.40 1
8.4.82.3.40.41 1
8.4.3.1.41.45 1
8.4.1.2.45.51 1
8.4.2.2.51.80 1
9.4.13.12.1.4 1
9.4.12.57.4.5 1
9.4.57.12.5.6 1
9.4.12.13.6.9 1
9.4.13.24.9.13 1
9.4.24.58.13.14 1
9.4.58.58.14.25 1
9.4.58.24.25.26 1
9.4.24.81.26.27 1
9.4.81.24.27.28 1
9.4.24.13.28.32 1
9.4.13.12.32.35 1
9.4.12.3.35.39 1
9.4.3.82.39.40 1
9.4.82.3.40.41 1
9.4.3.4.41.45 1
9.4.4.10.45.53 1
9.4.10.10.53.80 1
10.4.20.18.1.5 1
10.4.18.63.5.6 1
10.4.63.63.6.10 1
10.4.63.18.10.11 1
10.4.18.16.11.14 1
10.4.16.8.14.19 1
10.4.8.6.19.21 1
10.4.6.64.21.22 1
10.4.64.64.22.30 1
10.4.64.6.30.31 1
10.4.6.8.31.33 1
10.4.8.16.33.38 1
10.4.16.17.38.40 1
10.4.17.19.40.42 1
10.4.19.65.42.43 1
10.4.65.19.43.44 1
10.4.19.15.44.47 1
10.4.15.11.47.53 1
10.4.11.3.53.60 1
10.4.3.66.60.61 1
10.4.66.3.61.62 1
10.4.3.1.62.66 1
10.4.1.1.66.80 1
11.4.20.18.1.5 1
11.4.18.63.5.6 1
11.4.63.63.6.10 1
11.4.63.18.10.11 1
11.4.18.16.11.14 1
11.4.16.8.14.19 1
11.4.8.6.19.21 1
11.4.6.64.21.22 1
11.4.64.64.22.30 1
11.4.64.6.30.31 1
11.4.6.8.31.33 1
11.4.8.16.33.38 1
11.4.16.17.38.40 1
11.4.17.19.40.42 1
11.4.19.65.42.43 1
11.4.65.19.43.44 1
11.4.19.15.44.47 1
11.4.15.11.47.53 1
11.4.11.3.53.60 1
11.4.3.66.60.61 1
11.4.66.3.61.62 1
11.4.3.1.62.66 1
11.4.1.2.66.72 1
11.4.2.2.72.80 1
12.4.20.18.1.5 1
12.4.18.63.5.6 1
12.4.63.63.6.10 1
12.4.63.18.10.11 1
12.4.18.16.11.14 1
12.4.16.8.14.19 1
12.4.8.6.19.21 1
12.4.6.64.21.22 1
12.4.64.64.22.30 1
12.4.64.6.30.31 1
12.4.6.8.31.33 1
12.4.8.45.33.34 1
12.4.45.8.34.35 1
12.4.8.16.35.40 1
12.4.16.17.40.42 1
12.4.17.19.42.44 1
12.4.19.15.44.47 1
12.4.15.22.47.50 1
12.4.22.46.50.51 1
12.4.46.22.51.52 1
12.4.22.15.52.55 1
12.4.15.10.55.61 1
12.4.10.10.61.80 1
13.4.1.3.1.5 1
13.4.3.11.5.12 1
13.4.11.53.12.13 1
13.4.53.11.13.14 1
13.4.11.15.14.20 1
13.4.15.22.20.23 1
13.4.22.54.23.24 1
13.4.54.54.24.25 1
13.4.54.22.25.26 1
13.4.22.73.26.27 1
13.4.73.22.27.28 1
13.4.22.15.28.31 1
13.4.15.11.31.37 1
13.4.11.3.37.44 1
13.4.3.74.44.45 1
13.4.74.3.45.46 1
13.4.3.12.46.50 1
13.4.12.13.50.53 1
13.4.13.13.53.80 1
14.4.1.3.1.5 1
14.4.3.12.5.9 1
14.4.12.57.9.10 1
14.4.57.12.10.11 1
14.4.12.13.11.14 1
14.4.13.24.14.18 1
14.4.24.58.18.19 1
14.4.58.58.19.25 1
14.4.58.24.25.26 1
14.4.24.81.26.27 1
14.4.81.24.27.28 1
14.4.24.13.28.32 1
14.4.13.12.32.35 1
14.4.12.3.35.39 1
14.4.3.82.39.40 1
14.4.82.3.40.41 1
14.4.3.4.41.45 1
14.4.4.31.45.46 1
14.4.31.4.46.47 1
14.4.4.10.47.55 1
14.4.10.15.55.61 1
14.4.15.22.61.64 1
14.4.22.21.64.66 1
14.4.21.32.66.67 1
14.4.32.21.67.68 1
14.4.21.23.68.73 1
14.4.23.22.73.77 1
14.4.22.20.77.82 1
15.4.1.3.1.5 1
15.4.3.12.5.9 1
15.4.12.57.9.10 1
15.4.57.12.10.11 1
15.4.12.13.11.14 1
15.4.13.24.14.18 1
15.4.24.58.18.19 1
15.4.58.58.19.25 1
15.4.58.24.25.26 1
15.4.24.81.26.27 1
15.4.81.24.27.28 1
15.4.24.13.28.32 1
15.4.13.12.32.35 1
15.4.12.3.35.39 1
15.4.3.82.39.40 1
15.4.82.3.40.41 1
15.4.3.4.41.45 1
15.4.4.31.45.46 1
15.4.31.4.46.47 1
15.4.4.10.47.55 1
15.4.10.15.55.61 1
15.4.15.22.61.64 1
15.4.22.21.64.66 1
15.4.21.32.66.67 1
15.4.32.21.67.68 1
15.4.21.23.68.73 1
15.4.23.22.73.77 1
15.4.22.20.77.82 1
16.4.2.6.1.6 1
16.4.6.8.6.8 1
16.4.8.41.8.9 1
16.4.41.41.9.10 1
16.4.41.8.10.11 1
16.4.8.16.11.16 1
16.4.16.17.16.18 1
16.4.17.19.18.20 1
16.4.19.42.20.21 1
16.4.42.42.21.30 1
16.4.42.19.30.31 1
16.4.19.65.31.32 1
16.4.65.19.32.33 1
16.4.19.15.33.36 1
16.4.15.11.36.42 1
16.4.11.3.42.49 1
16.4.3.66.49.50 1
16.4.66.3.50.51 1
16.4.3.4.51.55 1
16.4.4.31.55.56 1
16.4.31.4.56.57 1
16.4.4.10.57.65 1
16.4.10.15.65.71 1
16.4.15.22.71.74 1
16.4.22.21.74.76 1
16.4.21.32.76.77 1
16.4.32.21.77.78 1
16.4.21.24.78.81 1
16.4.24.13.81.85 1
17.4.2.1.1.7 1
17.4.1.3.7.11 1
17.4.3.12.11.15 1
17.4.12.57.15.16 1
17.4.57.12.16.17 1
17.4.12.13.17.20 1
17.4.13.24.20.24 1
17.4.24.58.24.25 1
17.4.58.24.25.26 1
17.4.24.81.26.27 1
17.4.81.24.27.28 1
17.4.24.13.28.32 1
17.4.13.12.32.35 1
17.4.12.3.35.39 1
17.4.3.82.39.40 1
17.4.82.3.40.41 1
17.4.3.4.41.45 1
17.4.4.31.45.46 1
17.4.31.4.46.47 1
17.4.4.10.47.55 1
17.4.10.15.55.61 1
17.4.15.22.61.64 1
17.4.22.21.64.66 1
17.4.21.32.66.67 1
17.4.32.21.67.68 1
17.4.21.23.68.73 1
17.4.23.22.73.77 1
17.4.22.20.77.82 1
18.4.2.1.1.7 1
18.4.1.3.7.11 1
18.4.3.12.11.15 1
18.4.12.57.15.16 1
18.4.57.12.16.17 1
18.4.12.13.17.20 1
18.4.13.24.20.24 1
18.4.24.58.24.25 1
18.4.58.24.25.26 1
18.4.24.81.26.27 1
18.4.81.24.27.28 1
18.4.24.13.28.32 1
18.4.13.12.32.35 1
18.4.12.3.35.39 1
18.4.3.82.39.40 1
18.4.82.3.40.41 1
18.4.3.4.41.45 1
18.4.4.10.45.53 1
18.4.10.10.53.80 1
19.4.13.12.1.4 1
19.4.12.57.4.5 1
19.4.57.12.5.6 1
19.4.12.13.6.9 1
19.4.13.24.9.13 1
19.4.24.58.13.14 1
19.4.58.58.14.25 1
19.4.58.24.25.26 1
19.4.24.81.26.27 1
19.4.81.24.27.28 1
19.4.24.13.28.32 1
19.4.13.12.32.35 1
19.4.12.3.35.39 1
19.4.3.82.39.40 1
19.4.82.3.40.41 1
19.4.3.1.41.45 1
19.4.1.1.45.80 1
20.4.13.12.1.4 1
20.4.12.57.4.5 1
20.4.57.12.5.6 1
20.4.12.13.6.9 1
20.4.13.24.9.13 1
20.4.24.58.13.14 1
20.4.58.58.14.25 1
20.4.58.24.25.26 1
20.4.24.81.26.27 1
20.4.81.24.27.28 1
20.4.24.13.28.32 1
20.4.13.12.32.35 1
20.4.12.3.35.39 1
20.4.3.82.39.40 1
20.4.82.3.40.41 1
20.4.3.1.41.45 1
20.4.1.2.45.51 1
20.4.2.2.51.80 1
21.4.13.12.1.4 1
21.4.12.57.4.5 1
21.4.57.12.5.6 1
21.4.12.13.6.9 1
21.4.13.24.9.13 1
21.4.24.58.13.14 1
21.4.58.58.14.25 1
21.4.58.24.25.26 1
21.4.24.81.26.27 1
21.4.81.24.27.28 1
21.4.24.13.28.32 1
21.4.13.12.32.35 1
21.4.12.3.35.39 1
21.4.3.82.39.40 1
21.4.82.3.40.41 1
21.4.3.4.41.45 1
21.4.4.10.45.53 1
21.4.10.10.53.80 1
22.4.20.18.1.5 1
22.4.18.63.5.6 1
22.4.63.63.6.10 1
22.4.63.18.10.11 1
22.4.18.16.11.14 1
22.4.16.8.14.19 1
22.4.8.6.19.21 1
22.4.6.64.21.22 1
22.4.64.64.22.30 1
22.4.64.6.30.31 1
22.4.6.8.31.33 1
22.4.8.16.33.38 1
22.4.16.17.38.40 1
22.4.17.19.40.42 1
22.4.19.65.42.43 1
22.4.65.19.43.44 1
22.4.19.15.44.47 1
22.4.15.11.47.53 1
22.4.11.3.53.60 1
22.4.3.66.60.61 1
22.4.66.3.61.62 1
22.4.3.1.62.66 1
22.4.1.1.66.80 1
23.4.20.18.1.5 1
23.4.18.63.5.6 1
23.4.63.63.6.10 1
23.4.63.18.10.11 1
23.4.18.16.11.14 1
23.4.16.8.14.19 1
23.4.8.6.19.21 1
23.4.6.64.21.22 1
23.4.64.64.22.30 1
23.4.64.6.30.31 1
23.4.6.8.31.33 1
23.4.8.16.33.38 1
23.4.16.17.38.40 1
23.4.17.19.40.42 1
23.4.19.65.42.43 1
23.4.65.19.43.44 1
23.4.19.15.44.47 1
23.4.15.11.47.53 1
23.4.11.3.53.60 1
23.4.3.66.60.61 1
23.4.66.3.61.62 1
23.4.3.1.62.66 1
23.4.1.2.66.72 1
23.4.2.2.72.80 1
24.4.20.18.1.5 1
24.4.18.63.5.6 1
24.4.63.63.6.10 1
24.4.63.18.10.11 1
24.4.18.16.11.14 1
24.4.16.8.14.19 1
24.4.8.6.19.21 1
24.4.6.64.21.22 1
24.4.64.64.22.30 1
24.4.64.6.30.31 1
24.4.6.8.31.33 1
24.4.8.45.33.34 1
24.4.45.8.34.35 1
24.4.8.16.35.40 1
24.4.16.17.40.42 1
24.4.17.19.42.44 1
24.4.19.15.44.47 1
24.4.15.22.47.50 1
24.4.22.46.50.51 1
24.4.46.22.51.52 1
24.4.22.15.52.55 1
24.4.15.10.55.61 1
24.4.10.10.61.80 1
25.4.1.3.1.5 1
25.4.3.11.5.12 1
25.4.11.53.12.13 1
25.4.53.11.13.14 1
25.4.11.15.14.20 1
25.4.15.22.20.23 1
25.4.22.54.23.24 1
25.4.54.54.24.25 1
25.4.54.22.25.26 1
25.4.22.73.26.27 1
25.4.73.22.27.28 1
25.4.22.15.28.31 1
25.4.15.11.31.37 1
25.4.11.3.37.44 1
25.4.3.74.44.45 1
25.4.74.3.45.46 1
25.4.3.12.46.50 1
25.4.12.13.50.53 1
25.4.13.13.53.80 1
26.4.2.1.1.7 1
26.4.1.3.7.11 1
26.4.3.12.11.15 1
26.4.12.57.15.16 1
26.4.57.12.16.17 1
26.4.12.13.17.20 1
26.4.13.24.20.24 1
26.4.24.58.24.25 1
26.4.58.24.25.26 1
26.4.24.81.26.27 1
26.4.81.24.27.28 1
26.4.24.13.28.32 1
26.4.13.12.32.35 1
26.4.12.3.35.39 1
26.4.3.82.39.40 1
26.4.82.3.40.41 1
26.4.3.4.41.45 1
26.4.4.31.45.46 1
26.4.31.4.46.47 1
26.4.4.10.47.55 1
26.4.10.15.55.61 1
26.4.15.22.61.64 1
26.4.22.21.64.66 1
26.4.21.32.66.67 1
26.4.32.21.67.68 1
26.4.21.23.68.73 1
26.4.23.22.73.77 1
26.4.22.20.77.82 1
27.4.13.12.1.4 1
27.4.12.57.4.5 1
27.4.57.12.5.6 1
27.4.12.13.6.9 1
27.4.13.24.9.13 1
27.4.24.58.13.14 1
27.4.58.58.14.25 1
27.4.58.24.25.26 1
27.4.24.81.26.27 1
27.4.81.24.27.28 1
27.4.24.13.28.32 1
27.4.13.12.32.35 1
27.4.12.3.35.39 1
27.4.3.82.39.40 1
27.4.82.3.40.41 1
27.4.3.1.41.45 1
27.4.1.1.45.80 1
28.4.20.18.1.5 1
28.4.18.63.5.6 1
28.4.63.63.6.10 1
28.4.63.18.10.11 1
28.4.18.16.11.14 1
28.4.16.8.14.19 1
28.4.8.6.19.21 1
28.4.6.64.21.22 1
28.4.64.64.22.30 1
28.4.64.6.30.31 1
28.4.6.8.31.33 1
28.4.8.16.33.38 1
28.4.16.17.38.40 1
28.4.17.19.40.42 1
28.4.19.65.42.43 1
28.4.65.19.43.44 1
28.4.19.15.44.47 1
28.4.15.11.47.53 1
28.4.11.3.53.60 1
28.4.3.66.60.61 1
28.4.66.3.61.62 1
28.4.3.1.62.66 1
28.4.1.2.66.72 1
28.4.2.2.72.80 1
29.4.1.3.1.5 1
29.4.3.11.5.12 1
29.4.11.53.12.13 1
29.4.53.11.13.14 1
29.4.11.15.14.20 1
29.4.15.22.20.23 1
29.4.22.54.23.24 1
29.4.54.54.24.25 1
29.4.54.22.25.26 1
29.4.22.73.26.27 1
29.4.73.22.27.28 1
29.4.22.15.28.31 1
29.4.15.11.31.37 1
29.4.11.3.37.44 1
29.4.3.74.44.45 1
29.4.74.3.45.46 1
29.4.3.12.46.50 1
29.4.12.13.50.53 1
29.4.13.13.53.80 1
30.4.2.1.1.7 1
30.4.1.3.7.11 1
30.4.3.12.11.15 1
30.4.12.57.15.16 1
30.4.57.12.16.17 1
30.4.12.13.17.20 1
30.4.13.24.20.24 1
30.4.24.58.24.25 1
30.4.58.24.25.26 1
30.4.24.81.26.27 1
30.4.81.24.27.28 1
30.4.24.13.28.32 1
30.4.13.12.32.35 1
30.4.12.3.35.39 1
30.4.3.82.39.40 1
30.4.82.3.40.41 1
30.4.3.4.41.45 1
30.4.4.31.45.46 1
30.4.31.4.46.47 1
30.4.4.10.47.55 1
30.4.10.15.55.61 1
30.4.15.22.61.64 1
30.4.22.21.64.66 1
30.4.21.32.66.67 1
30.4.32.21.67.68 1
30.4.21.23.68.73 1
30.4.23.22.73.77 1
30.4.22.20.77.82 1
