Network has 144 nodes, 288 links, 30  passengers, 30 vehicles

link no.109,  3->25, service code 1
link no.240,  10->96, service code 101
link no.241,  97->13, service code 100
link no.242,  1->98, service code 101
link no.243,  99->13, service code 100
link no.244,  2->100, service code 101
link no.245,  101->13, service code 100
link no.246,  10->102, service code 101
link no.247,  103->20, service code 100
link no.248,  1->104, service code 101
link no.249,  105->20, service code 100
link no.250,  2->106, service code 101
link no.251,  107->20, service code 100
link no.252,  10->108, service code 101
link no.253,  109->1, service code 100
link no.254,  13->110, service code 101
link no.255,  111->1, service code 100
link no.256,  20->112, service code 101
link no.257,  113->1, service code 100
link no.258,  20->114, service code 101
link no.259,  115->2, service code 100
link no.260,  13->116, service code 101
link no.261,  117->2, service code 100
link no.262,  20->118, service code 101
link no.263,  119->2, service code 100
link no.264,  10->120, service code 101
link no.265,  121->13, service code 100
link no.266,  1->122, service code 101
link no.267,  123->13, service code 100
link no.268,  2->124, service code 101
link no.269,  125->13, service code 100
link no.270,  10->126, service code 101
link no.271,  127->20, service code 100
link no.272,  1->128, service code 101
link no.273,  129->20, service code 100
link no.274,  2->130, service code 101
link no.275,  131->20, service code 100
link no.276,  10->132, service code 101
link no.277,  133->1, service code 100
link no.278,  13->134, service code 101
link no.279,  135->2, service code 100
link no.280,  20->136, service code 101
link no.281,  137->13, service code 100
link no.282,  1->138, service code 101
link no.283,  139->20, service code 100
link no.284,  2->140, service code 101
link no.285,  141->1, service code 100
link no.286,  13->142, service code 101
link no.287,  143->2, service code 100
link no.288,  20->144, service code 101


Debug: LB iteration 0, Vehicle 1 performing DP: origin 1 -> destination 13
 Dual 	{{ _15[2]_25[2]}}; Label Cost 25.000000
 
Debug: LB iteration 0, Vehicle 2 performing DP: origin 1 -> destination 20
 Dual 	{{ _4[2]_17[2]_29[2]}}; Label Cost 18.000000
 
Debug: LB iteration 0, Vehicle 3 performing DP: origin 1 -> destination 10
 Dual 	{{ _17[2]_29[2]}}; Label Cost 22.500000
 
Debug: LB iteration 0, Vehicle 4 performing DP: origin 2 -> destination 13
 Dual 	{{ _4[2]_9[2]_21[2]}}; Label Cost 19.000000
 
Debug: LB iteration 0, Vehicle 5 performing DP: origin 2 -> destination 20
 Dual 	{{ _4[2]_17[2]_29[2]}}; Label Cost 21.000000
 
Debug: LB iteration 0, Vehicle 6 performing DP: origin 2 -> destination 10
 Dual 	{{ _17[2]_29[2]}}; Label Cost 25.500000
 
Debug: LB iteration 0, Vehicle 7 performing DP: origin 13 -> destination 1
 Dual 	{{ _17[2]_29[2]}}; Label Cost 16.000000
 
Debug: LB iteration 0, Vehicle 8 performing DP: origin 13 -> destination 2
 Dual 	{{ _17[2]_29[2]}}; Label Cost 19.000000
 
Debug: LB iteration 0, Vehicle 9 performing DP: origin 13 -> destination 10
 Dual 	{{ _17[2]_29[2]}}; Label Cost 20.000000
 
Debug: LB iteration 0, Vehicle 10 performing DP: origin 20 -> destination 1
 Dual 	{{ _20[2]_21[2]}}; Label Cost 26.000000
 
Debug: LB iteration 0, Vehicle 11 performing DP: origin 20 -> destination 2
 Dual 	{{ _20[2]_21[2]}}; Label Cost 29.000000
 
Debug: LB iteration 0, Vehicle 12 performing DP: origin 20 -> destination 10
 Dual 	{{ _11[2]_20[2]}}; Label Cost 23.500000
 
Debug: LB iteration 0, Vehicle 13 performing DP: origin 1 -> destination 13
 Dual 	{{ _15[2]_25[2]}}; Label Cost 25.000000
 
Debug: LB iteration 0, Vehicle 14 performing DP: origin 1 -> destination 20
 Dual 	{{ _4[2]_17[2]_29[2]}}; Label Cost 18.000000
 
Debug: LB iteration 0, Vehicle 15 performing DP: origin 1 -> destination 20
 Dual 	{{ _4[2]_17[2]_29[2]}}; Label Cost 18.000000
 
Debug: LB iteration 0, Vehicle 16 performing DP: origin 2 -> destination 13
 Dual 	{{ _4[2]_9[2]_21[2]}}; Label Cost 19.000000
 
Debug: LB iteration 0, Vehicle 17 performing DP: origin 2 -> destination 20
 Dual 	{{ _4[2]_17[2]_29[2]}}; Label Cost 21.000000
 
Debug: LB iteration 0, Vehicle 18 performing DP: origin 2 -> destination 10
 Dual 	{{ _17[2]_29[2]}}; Label Cost 25.500000
 
Debug: LB iteration 0, Vehicle 19 performing DP: origin 13 -> destination 1
 Dual 	{{ _17[2]_29[2]}}; Label Cost 16.000000
 
Debug: LB iteration 0, Vehicle 20 performing DP: origin 13 -> destination 2
 Dual 	{{ _17[2]_29[2]}}; Label Cost 19.000000
 
Debug: LB iteration 0, Vehicle 21 performing DP: origin 13 -> destination 10
 Dual 	{{ _17[2]_29[2]}}; Label Cost 20.000000
 
Debug: LB iteration 0, Vehicle 22 performing DP: origin 20 -> destination 1
 Dual 	{{ _20[2]_21[2]}}; Label Cost 26.000000
 
Debug: LB iteration 0, Vehicle 23 performing DP: origin 20 -> destination 2
 Dual 	{{ _20[2]_21[2]}}; Label Cost 29.000000
 
Debug: LB iteration 0, Vehicle 24 performing DP: origin 20 -> destination 10
 Dual 	{{ _11[2]_20[2]}}; Label Cost 23.500000
 
Debug: LB iteration 0, Vehicle 25 performing DP: origin 1 -> destination 13
 Dual 	{{ _15[2]_25[2]}}; Label Cost 25.000000
 
Debug: LB iteration 0, Vehicle 26 performing DP: origin 2 -> destination 20
 Dual 	{{ _4[2]_17[2]_29[2]}}; Label Cost 21.000000
 
Debug: LB iteration 0, Vehicle 27 performing DP: origin 13 -> destination 1
 Dual 	{{ _17[2]_29[2]}}; Label Cost 16.000000
 
Debug: LB iteration 0, Vehicle 28 performing DP: origin 20 -> destination 2
 Dual 	{{ _20[2]_21[2]}}; Label Cost 29.000000
 
Debug: LB iteration 0, Vehicle 29 performing DP: origin 1 -> destination 13
 Dual 	{{ _15[2]_25[2]}}; Label Cost 25.000000
 
Debug: LB iteration 0, Vehicle 30 performing DP: origin 2 -> destination 20
 Dual 	{{ _4[2]_17[2]_29[2]}}; Label Cost 21.000000
 LR_global_lower_bound = , 661.500000Summary: Lower Bound = 661.500000, upper Bound = 99999.000000, gap = 99337.500000, relative_gap = 99.338%
******************************************************************************************************************

CPU Running Time = 238912 milliseconds
