parameter beta(v_k_i_j_t_s)
6.1.8.16.21.26 1
6.1.16.17.26.28 1
6.1.17.19.28.30 1
6.1.19.15.30.33 1
6.1.15.22.33.36 1
6.1.22.46.36.37 1
6.1.46.46.37.45 1
6.1.46.22.45.46 1
6.1.22.15.46.49 1
6.1.15.10.49.55 1
6.1.10.10.55.80 1
7.1.13.24.1.5 1
7.1.24.81.5.6 1
7.1.81.81.6.20 1
7.1.81.24.20.21 1
7.1.24.13.21.25 1
7.1.13.12.25.28 1
7.1.12.3.28.32 1
7.1.3.82.32.33 1
7.1.82.82.33.40 1
7.1.82.3.40.41 1
7.1.3.1.41.45 1
7.1.1.1.45.80 1
8.1.13.24.1.5 1
8.1.24.23.5.7 1
8.1.23.79.7.8 1
8.1.79.23.8.9 1
8.1.23.22.9.13 1
8.1.22.20.13.18 1
8.1.20.18.18.22 1
8.1.18.7.22.24 1
8.1.7.80.24.30 1
8.1.80.6.30.31 1
8.1.6.2.31.36 1
8.1.2.2.36.80 1
9.1.13.12.1.4 1
9.1.12.57.4.5 1
9.1.57.12.5.6 1
9.1.12.13.6.9 1
9.1.13.24.9.13 1
9.1.24.58.13.14 1
9.1.58.58.14.25 1
9.1.58.24.25.26 1
9.1.24.23.26.28 1
9.1.23.22.28.32 1
9.1.22.15.32.35 1
9.1.15.10.35.41 1
9.1.10.10.41.80 1
10.1.20.19.1.5 1
10.1.19.65.5.6 1
10.1.65.65.6.30 1
10.1.65.19.30.31 1
10.1.19.15.31.34 1
10.1.15.11.34.40 1
10.1.11.3.40.47 1
10.1.3.66.47.48 1
10.1.66.66.48.50 1
10.1.66.3.50.51 1
10.1.3.1.51.55 1
10.1.1.1.55.80 1
11.1.20.18.1.5 1
11.1.18.63.5.6 1
11.1.63.63.6.10 1
11.1.63.18.10.11 1
11.1.18.16.11.14 1
11.1.16.8.14.19 1
11.1.8.6.19.21 1
11.1.6.64.21.22 1
11.1.64.64.22.30 1
11.1.64.6.30.31 1
11.1.6.2.31.36 1
11.1.2.2.36.80 1
12.1.20.22.1.6 1
12.1.22.75.6.7 1
12.1.75.22.7.8 1
12.1.22.15.8.11 1
12.1.15.19.11.14 1
12.1.19.17.14.16 1
12.1.17.16.16.18 1
12.1.16.8.18.23 1
12.1.8.6.23.25 1
12.1.6.76.25.26 1
12.1.76.6.26.27 1
12.1.6.8.27.29 1
12.1.8.16.29.34 1
12.1.16.10.34.38 1
12.1.10.10.38.80 1
13.1.1.3.1.5 1
13.1.3.11.5.12 1
13.1.11.55.12.13 1
13.1.55.11.13.14 1
13.1.11.15.14.20 1
13.1.15.22.20.23 1
13.1.22.23.23.27 1
13.1.23.56.27.28 1
13.1.56.23.28.29 1
13.1.23.24.29.31 1
13.1.24.13.31.35 1
13.1.13.13.35.80 1
14.1.1.3.1.5 1
14.1.3.12.5.9 1
14.1.12.59.9.10 1
14.1.59.12.10.11 1
14.1.12.13.11.14 1
14.1.13.24.14.18 1
14.1.24.60.18.19 1
14.1.60.60.19.30 1
14.1.60.24.30.31 1
14.1.24.23.31.33 1
14.1.23.22.33.37 1
14.1.22.20.37.42 1
14.1.20.20.42.80 1
15.1.1.3.1.5 1
15.1.3.27.5.6 1
15.1.27.3.6.7 1
15.1.3.4.7.11 1
15.1.4.10.11.19 1
15.1.10.16.19.23 1
15.1.16.18.23.26 1
15.1.18.28.26.27 1
15.1.28.18.27.28 1
15.1.18.20.28.32 1
15.1.20.20.32.80 1
16.1.2.6.1.6 1
16.1.6.8.6.8 1
16.1.8.43.8.9 1
16.1.43.43.9.10 1
16.1.43.8.10.11 1
16.1.8.16.11.16 1
16.1.16.17.16.18 1
16.1.17.19.18.20 1
16.1.19.15.20.23 1
16.1.15.22.23.26 1
16.1.22.21.26.28 1
16.1.21.44.28.29 1
16.1.44.44.29.30 1
16.1.44.21.30.31 1
16.1.21.24.31.34 1
16.1.24.13.34.38 1
16.1.13.13.38.80 1
17.1.2.6.1.6 1
17.1.6.5.6.10 1
17.1.5.4.10.12 1
17.1.4.29.12.13 1
17.1.29.4.13.14 1
17.1.4.10.14.22 1
17.1.10.16.22.26 1
17.1.16.17.26.28 1
17.1.17.19.28.30 1
17.1.19.30.30.31 1
17.1.30.19.31.32 1
17.1.19.20.32.36 1
17.1.20.20.36.80 1
18.1.2.6.1.6 1
18.1.6.8.6.8 1
18.1.8.47.8.9 1
18.1.47.47.9.20 1
18.1.47.8.20.21 1
18.1.8.16.21.26 1
18.1.16.17.26.28 1
18.1.17.19.28.30 1
18.1.19.15.30.33 1
18.1.15.22.33.36 1
18.1.22.23.36.40 1
18.1.23.48.40.41 1
18.1.48.48.41.45 1
18.1.48.23.45.46 1
18.1.23.22.46.50 1
18.1.22.15.50.53 1
18.1.15.10.53.59 1
18.1.10.10.59.80 1
19.1.13.24.1.5 1
19.1.24.23.5.7 1
19.1.23.77.7.8 1
19.1.77.23.8.9 1
19.1.23.24.9.11 1
19.1.24.13.11.15 1
19.1.13.12.15.18 1
19.1.12.3.18.22 1
19.1.3.78.22.23 1
19.1.78.78.23.25 1
19.1.78.3.25.26 1
19.1.3.1.26.30 1
19.1.1.1.30.80 1
20.1.13.24.1.5 1
20.1.24.83.5.6 1
20.1.83.83.6.20 1
20.1.83.24.20.21 1
20.1.24.23.21.23 1
20.1.23.22.23.27 1
20.1.22.20.27.32 1
20.1.20.18.32.36 1
20.1.18.7.36.38 1
20.1.7.84.38.44 1
20.1.84.6.44.45 1
20.1.6.2.45.50 1
20.1.2.2.50.80 1
21.1.13.24.1.5 1
21.1.24.21.5.8 1
21.1.21.69.8.9 1
21.1.69.69.9.30 1
21.1.69.21.30.31 1
21.1.21.24.31.34 1
21.1.24.13.34.38 1
21.1.13.12.38.41 1
21.1.12.3.41.45 1
21.1.3.70.45.46 1
21.1.70.70.46.50 1
21.1.70.3.50.51 1
21.1.3.4.51.55 1
21.1.4.10.55.63 1
21.1.10.10.63.80 1
22.1.20.22.1.6 1
22.1.22.73.6.7 1
22.1.73.73.7.10 1
22.1.73.22.10.11 1
22.1.22.15.11.14 1
22.1.15.11.14.20 1
22.1.11.3.20.27 1
22.1.3.74.27.28 1
22.1.74.74.28.30 1
22.1.74.3.30.31 1
22.1.3.1.31.35 1
22.1.1.1.35.80 1
23.1.20.19.1.5 1
23.1.19.67.5.6 1
23.1.67.67.6.30 1
23.1.67.19.30.31 1
23.1.19.17.31.33 1
23.1.17.16.33.35 1
23.1.16.8.35.40 1
23.1.8.6.40.42 1
23.1.6.68.42.43 1
23.1.68.68.43.50 1
23.1.68.6.50.51 1
23.1.6.2.51.56 1
23.1.2.2.56.80 1
24.1.20.18.1.5 1
24.1.18.61.5.6 1
24.1.61.61.6.10 1
24.1.61.18.10.11 1
24.1.18.16.11.14 1
24.1.16.17.14.16 1
24.1.17.19.16.18 1
24.1.19.15.18.21 1
24.1.15.11.21.27 1
24.1.11.3.27.34 1
24.1.3.62.34.35 1
24.1.62.3.35.36 1
24.1.3.4.36.40 1
24.1.4.10.40.48 1
24.1.10.10.48.80 1
25.1.1.3.1.5 1
25.1.3.4.5.9 1
25.1.4.31.9.10 1
25.1.31.31.10.40 1
25.1.31.4.40.41 1
25.1.4.10.41.49 1
25.1.10.15.49.55 1
25.1.15.22.55.58 1
25.1.22.21.58.60 1
25.1.21.32.60.61 1
25.1.32.21.61.62 1
25.1.21.24.62.65 1
25.1.24.13.65.69 1
25.1.13.13.69.80 1
26.1.2.6.1.6 1
26.1.6.5.6.10 1
26.1.5.33.10.11 1
26.1.33.33.11.40 1
26.1.33.5.40.41 1
26.1.5.5.41.42 1
26.1.5.5.42.43 1
26.1.5.9.43.48 1
26.1.9.10.48.51 1
26.1.10.15.51.57 1
26.1.15.22.57.60 1
26.1.22.34.60.61 1
26.1.34.22.61.62 1
26.1.22.20.62.67 1
26.1.20.20.67.80 1
27.1.13.24.1.5 1
27.1.24.21.5.8 1
27.1.21.71.8.9 1
27.1.71.71.9.30 1
27.1.71.21.30.31 1
27.1.21.23.31.36 1
27.1.23.22.36.40 1
27.1.22.15.40.43 1
27.1.15.19.43.46 1
27.1.19.17.46.48 1
27.1.17.16.48.50 1
27.1.16.8.50.55 1
27.1.8.6.55.57 1
27.1.6.72.57.58 1
27.1.72.6.58.59 1
27.1.6.2.59.64 1
27.1.2.1.64.70 1
27.1.1.1.70.80 1
28.1.20.18.1.5 1
28.1.18.16.5.8 1
28.1.16.10.8.12 1
28.1.10.9.12.15 1
28.1.9.51.15.16 1
28.1.51.9.16.17 1
28.1.9.10.17.20 1
28.1.10.15.20.26 1
28.1.15.22.26.29 1
28.1.22.21.29.31 1
28.1.21.52.31.32 1
28.1.52.21.32.33 1
28.1.21.24.33.36 1
28.1.24.13.36.40 1
28.1.13.12.40.43 1
28.1.12.3.43.47 1
28.1.3.1.47.51 1
28.1.1.2.51.57 1
28.1.2.2.57.80 1
29.1.1.3.1.5 1
29.1.3.4.5.9 1
29.1.4.10.9.17 1
29.1.10.9.17.20 1
29.1.9.49.20.21 1
29.1.49.9.21.22 1
29.1.9.10.22.25 1
29.1.10.15.25.31 1
29.1.15.22.31.34 1
29.1.22.21.34.36 1
29.1.21.24.36.39 1
29.1.24.50.39.40 1
29.1.50.50.40.45 1
29.1.50.24.45.46 1
29.1.24.13.46.50 1
29.1.13.13.50.80 1
30.1.2.6.1.6 1
30.1.6.5.6.10 1
30.1.5.35.10.11 1
30.1.35.35.11.40 1
30.1.35.5.40.41 1
30.1.5.9.41.46 1
30.1.9.10.46.49 1
30.1.10.15.49.55 1
30.1.15.22.55.58 1
30.1.22.36.58.59 1
30.1.36.36.59.60 1
30.1.36.22.60.61 1
30.1.22.20.61.66 1
30.1.20.20.66.80 1
