parameter beta(v_k_i_j_t_s)
6.1.45.45.10.20 1
6.1.45.8.20.21 1
6.1.8.16.21.26 1
6.1.16.17.26.28 1
6.1.17.19.28.30 1
6.1.19.15.30.33 1
6.1.15.22.33.36 1
6.1.22.46.36.37 1
6.1.46.46.37.45 1
6.1.46.22.45.46 1
6.1.22.15.46.49 1
6.1.15.10.49.55 1
6.1.10.10.55.80 1
7.1.13.24.1.5 1
7.1.24.81.5.6 1
7.1.81.81.6.20 1
7.1.81.24.20.21 1
7.1.24.13.21.25 1
7.1.13.12.25.28 1
7.1.12.3.28.32 1
7.1.3.82.32.33 1
7.1.82.82.33.40 1
7.1.82.3.40.41 1
7.1.3.1.41.45 1
7.1.1.1.45.80 1
8.1.13.24.1.5 1
8.1.24.23.5.7 1
8.1.23.79.7.8 1
8.1.79.23.8.9 1
8.1.23.22.9.13 1
8.1.22.20.13.18 1
8.1.20.18.18.22 1
8.1.18.7.22.24 1
8.1.7.80.24.30 1
8.1.80.6.30.31 1
8.1.6.2.31.36 1
8.1.2.2.36.80 1
9.1.13.12.1.4 1
9.1.12.57.4.5 1
9.1.57.12.5.6 1
9.1.12.13.6.9 1
9.1.13.24.9.13 1
9.1.24.58.13.14 1
9.1.58.58.14.25 1
9.1.58.24.25.26 1
9.1.24.23.26.28 1
9.1.23.22.28.32 1
9.1.22.15.32.35 1
9.1.15.10.35.41 1
9.1.10.10.41.80 1
10.1.20.19.1.5 1
10.1.19.65.5.6 1
10.1.65.65.6.30 1
10.1.65.19.30.31 1
10.1.19.15.31.34 1
10.1.15.11.34.40 1
10.1.11.3.40.47 1
10.1.3.66.47.48 1
10.1.66.66.48.50 1
10.1.66.3.50.51 1
10.1.3.1.51.55 1
10.1.1.1.55.80 1
11.1.20.18.1.5 1
11.1.18.63.5.6 1
11.1.63.63.6.10 1
11.1.63.18.10.11 1
11.1.18.16.11.14 1
11.1.16.8.14.19 1
11.1.8.6.19.21 1
11.1.6.64.21.22 1
11.1.64.64.22.30 1
11.1.64.6.30.31 1
11.1.6.6.31.32 1
11.1.6.2.32.37 1
11.1.2.2.37.80 1
12.1.20.22.1.6 1
12.1.22.75.6.7 1
12.1.75.22.7.8 1
12.1.22.15.8.11 1
12.1.15.19.11.14 1
12.1.19.17.14.16 1
12.1.17.16.16.18 1
12.1.16.8.18.23 1
12.1.8.6.23.25 1
12.1.6.76.25.26 1
12.1.76.6.26.27 1
12.1.6.8.27.29 1
12.1.8.16.29.34 1
12.1.16.10.34.38 1
12.1.10.10.38.80 1
13.1.1.3.1.5 1
13.1.3.3.5.6 1
13.1.3.11.6.13 1
13.1.11.55.13.14 1
13.1.55.11.14.15 1
13.1.11.11.15.16 1
13.1.11.11.16.17 1
13.1.11.15.17.23 1
13.1.15.22.23.26 1
13.1.22.23.26.30 1
13.1.23.56.30.31 1
13.1.56.23.31.32 1
13.1.23.24.32.34 1
13.1.24.13.34.38 1
13.1.13.13.38.80 1
14.1.1.3.1.5 1
14.1.3.12.5.9 1
14.1.12.59.9.10 1
14.1.59.12.10.11 1
14.1.12.13.11.14 1
14.1.13.24.14.18 1
14.1.24.60.18.19 1
14.1.60.60.19.30 1
14.1.60.24.30.31 1
14.1.24.23.31.33 1
14.1.23.22.33.37 1
14.1.22.20.37.42 1
14.1.20.20.42.80 1
15.1.1.3.1.5 1
15.1.3.27.5.6 1
15.1.27.3.6.7 1
15.1.3.4.7.11 1
15.1.4.10.11.19 1
15.1.10.16.19.23 1
15.1.16.18.23.26 1
15.1.18.28.26.27 1
15.1.28.18.27.28 1
15.1.18.20.28.32 1
15.1.20.20.32.80 1
16.1.2.6.1.6 1
16.1.6.6.6.7 1
16.1.6.6.7.8 1
16.1.6.6.8.9 1
16.1.6.8.9.11 1
16.1.8.43.11.12 1
16.1.43.8.12.13 1
16.1.8.16.13.18 1
16.1.16.17.18.20 1
16.1.17.19.20.22 1
16.1.19.15.22.25 1
16.1.15.22.25.28 1
16.1.22.21.28.30 1
16.1.21.44.30.31 1
16.1.44.21.31.32 1
16.1.21.24.32.35 1
16.1.24.13.35.39 1
16.1.13.13.39.80 1
17.1.2.6.1.6 1
17.1.6.6.6.7 1
17.1.6.6.7.8 1
17.1.6.6.8.9 1
17.1.6.6.9.10 1
17.1.6.8.10.12 1
17.1.8.47.12.13 1
17.1.47.47.13.20 1
17.1.47.8.20.21 1
17.1.8.8.21.22 1
17.1.8.8.22.23 1
17.1.8.16.23.28 1
17.1.16.17.28.30 1
17.1.17.19.30.32 1
17.1.19.15.32.35 1
17.1.15.22.35.38 1
17.1.22.23.38.42 1
17.1.23.48.42.43 1
17.1.48.48.43.45 1
17.1.48.23.45.46 1
17.1.23.22.46.50 1
17.1.22.20.50.55 1
17.1.20.20.55.80 1
18.1.2.6.1.6 1
18.1.6.6.6.7 1
18.1.6.6.7.8 1
18.1.6.6.8.9 1
18.1.6.6.9.10 1
18.1.6.6.10.11 1
18.1.6.6.11.12 1
18.1.6.8.12.14 1
18.1.8.16.14.19 1
18.1.16.17.19.21 1
18.1.17.19.21.23 1
18.1.19.67.23.24 1
18.1.67.67.24.30 1
18.1.67.19.30.31 1
18.1.19.17.31.33 1
18.1.17.16.33.35 1
18.1.16.8.35.40 1
18.1.8.6.40.42 1
18.1.6.68.42.43 1
18.1.68.68.43.50 1
18.1.68.6.50.51 1
18.1.6.8.51.53 1
18.1.8.16.53.58 1
18.1.16.10.58.62 1
18.1.10.10.62.80 1
19.1.13.24.1.5 1
19.1.24.24.5.6 1
19.1.24.23.6.8 1
19.1.23.77.8.9 1
19.1.77.23.9.10 1
19.1.23.24.10.12 1
19.1.24.13.12.16 1
19.1.13.12.16.19 1
19.1.12.3.19.23 1
19.1.3.78.23.24 1
19.1.78.78.24.25 1
19.1.78.3.25.26 1
19.1.3.1.26.30 1
19.1.1.1.30.80 1
20.1.13.24.1.5 1
20.1.24.83.5.6 1
20.1.83.83.6.20 1
20.1.83.24.20.21 1
20.1.24.23.21.23 1
20.1.23.22.23.27 1
20.1.22.20.27.32 1
20.1.20.18.32.36 1
20.1.18.7.36.38 1
20.1.7.84.38.44 1
20.1.84.6.44.45 1
20.1.6.2.45.50 1
20.1.2.2.50.80 1
21.1.13.24.1.5 1
21.1.24.21.5.8 1
21.1.21.69.8.9 1
21.1.69.69.9.30 1
21.1.69.21.30.31 1
21.1.21.21.31.32 1
21.1.21.21.32.33 1
21.1.21.24.33.36 1
21.1.24.13.36.40 1
21.1.13.12.40.43 1
21.1.12.3.43.47 1
21.1.3.70.47.48 1
21.1.70.70.48.50 1
21.1.70.3.50.51 1
21.1.3.4.51.55 1
21.1.4.10.55.63 1
21.1.10.10.63.80 1
22.1.20.22.1.6 1
22.1.22.73.6.7 1
22.1.73.73.7.10 1
22.1.73.22.10.11 1
22.1.22.15.11.14 1
22.1.15.11.14.20 1
22.1.11.3.20.27 1
22.1.3.74.27.28 1
22.1.74.74.28.30 1
22.1.74.3.30.31 1
22.1.3.1.31.35 1
22.1.1.1.35.80 1
23.1.20.18.1.5 1
23.1.18.61.5.6 1
23.1.61.61.6.10 1
23.1.61.18.10.11 1
23.1.18.18.11.12 1
23.1.18.16.12.15 1
23.1.16.10.15.19 1
23.1.10.11.19.24 1
23.1.11.3.24.31 1
23.1.3.62.31.32 1
23.1.62.3.32.33 1
23.1.3.1.33.37 1
23.1.1.2.37.43 1
23.1.2.2.43.80 1
24.1.20.18.1.5 1
24.1.18.16.5.8 1
24.1.16.8.8.13 1
24.1.8.9.13.23 1
24.1.9.49.23.24 1
24.1.49.9.24.25 1
24.1.9.8.25.35 1
24.1.8.16.35.40 1
24.1.16.17.40.42 1
24.1.17.19.42.44 1
24.1.19.15.44.47 1
24.1.15.22.47.50 1
24.1.22.21.50.52 1
24.1.21.24.52.55 1
24.1.24.50.55.56 1
24.1.50.24.56.57 1
24.1.24.23.57.59 1
24.1.23.22.59.63 1
24.1.22.15.63.66 1
24.1.15.10.66.72 1
24.1.10.10.72.80 1
25.1.1.3.1.5 1
25.1.3.4.5.9 1
25.1.4.29.9.10 1
25.1.29.4.10.11 1
25.1.4.4.11.12 1
25.1.4.10.12.20 1
25.1.10.16.20.24 1
25.1.16.17.24.26 1
25.1.17.19.26.28 1
25.1.19.30.28.29 1
25.1.30.19.29.30 1
25.1.19.19.30.31 1
25.1.19.19.31.32 1
25.1.19.19.32.33 1
25.1.19.15.33.36 1
25.1.15.22.36.39 1
25.1.22.21.39.41 1
25.1.21.24.41.44 1
25.1.24.13.44.48 1
25.1.13.13.48.80 1
26.1.2.6.1.6 1
26.1.6.5.6.10 1
26.1.5.33.10.11 1
26.1.33.33.11.40 1
26.1.33.5.40.41 1
26.1.5.9.41.46 1
26.1.9.10.46.49 1
26.1.10.15.49.55 1
26.1.15.22.55.58 1
26.1.22.34.58.59 1
26.1.34.34.59.60 1
26.1.34.22.60.61 1
26.1.22.20.61.66 1
26.1.20.20.66.80 1
27.1.13.24.1.5 1
27.1.24.24.5.6 1
27.1.24.21.6.9 1
27.1.21.71.9.10 1
27.1.71.71.10.30 1
27.1.71.21.30.31 1
27.1.21.23.31.36 1
27.1.23.22.36.40 1
27.1.22.15.40.43 1
27.1.15.19.43.46 1
27.1.19.17.46.48 1
27.1.17.16.48.50 1
27.1.16.8.50.55 1
27.1.8.6.55.57 1
27.1.6.72.57.58 1
27.1.72.6.58.59 1
27.1.6.2.59.64 1
27.1.2.1.64.70 1
27.1.1.1.70.80 1
28.1.20.18.1.5 1
28.1.18.18.5.6 1
28.1.18.16.6.9 1
28.1.16.10.9.13 1
28.1.10.9.13.16 1
28.1.9.51.16.17 1
28.1.51.9.17.18 1
28.1.9.10.18.21 1
28.1.10.15.21.27 1
28.1.15.22.27.30 1
28.1.22.21.30.32 1
28.1.21.52.32.33 1
28.1.52.21.33.34 1
28.1.21.24.34.37 1
28.1.24.13.37.41 1
28.1.13.12.41.44 1
28.1.12.3.44.48 1
28.1.3.1.48.52 1
28.1.1.2.52.58 1
28.1.2.2.58.80 1
29.1.1.3.1.5 1
29.1.3.3.5.6 1
29.1.3.4.6.10 1
29.1.4.31.10.11 1
29.1.31.31.11.40 1
29.1.31.4.40.41 1
29.1.4.4.41.42 1
29.1.4.10.42.50 1
29.1.10.15.50.56 1
29.1.15.22.56.59 1
29.1.22.21.59.61 1
29.1.21.32.61.62 1
29.1.32.21.62.63 1
29.1.21.24.63.66 1
29.1.24.13.66.70 1
29.1.13.13.70.80 1
30.1.2.6.1.6 1
30.1.6.6.6.7 1
30.1.6.5.7.11 1
30.1.5.35.11.12 1
30.1.35.35.12.40 1
30.1.35.5.40.41 1
30.1.5.5.41.42 1
30.1.5.5.42.43 1
30.1.5.9.43.48 1
30.1.9.10.48.51 1
30.1.10.15.51.57 1
30.1.15.22.57.60 1
30.1.22.36.60.61 1
30.1.36.22.61.62 1
30.1.22.20.62.67 1
30.1.20.20.67.80 1
